baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Four Oaks	[u'Lot: 0.61 acres', u'Single Family', u'Built in 2009', u'All time views: 662', u'Cooling: Central, Other', u'Heating: Forced air, Heat pump', u'Last sold: Dec 2013 for $116,000', u'Last sale price/sqft: $88', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,320 sqft', u'Last remodel year: 2009', u'Parcel #: 07G09008R', u'Zillow Home ID: 83967155']	http://photos1.zillowstatic.com/p_e/ISxfamv4981mze0000000000.jpg	116000.0	[]	1320.0	NC	124997.0	27524	83967155
2.5	3	Four Oaks	[u'Lot: 0.59 acres', u'Single Family', u'Built in 2013', u'All time views: 480', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Nov 2013 for $212,500', u'Last sale price/sqft: $95', u'Fireplace', u'Parking: Garage - Attached, 576 sqft garage', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,242 sqft', u'Last remodel year: 2013', u'Parcel #: 07G07015M', u'Zillow Home ID: 83181149']	http://photos3.zillowstatic.com/p_e/IShzytbv29cp0q1000000000.jpg	212500.0	[]	2242.0	NC	226317.0	27524	83181149
2.0	3	Four Oaks	[u'Lot: 2.17 acres', u'Single Family', u'Built in 1906', u'All time views: 698', u'Cooling: Central', u'Heating: Other', u'Last sold: Nov 2013 for $148,000', u'Last sale price/sqft: $69', u'Exterior material: Wood products', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,135 sqft', u'Last remodel year: 1960', u'Parcel #: 07F06020A', u'Zillow Home ID: 69099881']	http://photos1.zillowstatic.com/p_e/ISxn4f4ti2i91t0000000000.jpg	148000.0	[]	2135.0	NC	175914.0	27524	69099881
4.0	4	Four Oaks	[u'Lot: 4 acres', u'Single Family', u'Built in 2009', u'All time views: 1,018', u'Cooling: Other', u'Heating: Forced air, Heat pump', u'Last sold: Oct 2013 for $450,000', u'Last sale price/sqft: $102', u'Attic', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 6 spaces, 984 sqft garage', u'Patio', u'Pool', u'Porch', u'Security System', u'View: Water', u'Dishwasher', u'Microwave', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Office', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 13', u'Stories: 15', u'Structure type: Other', u'Floor size: 4,400 sqft', u'Heating: Electric', u'Last remodel year: 2009', u'Parcel #: 07F07099F', u'Zillow Home ID: 83182319']	http://photos2.zillowstatic.com/p_e/IS1vshdh03qhpq1000000000.jpg	450000.0	[]	4400.0	NC	495569.0	27524	83182319
2.0	3	Four Oaks	[u'Lot: 0.87 acres', u'Single Family', u'Built in 1989', u'All time views: 662', u'Cooling: Central', u'Heating: Other', u'Last sold: Oct 2013 for $59,000', u'Last sale price/sqft: $35', u'Deck', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,668 sqft', u'Last remodel year: 1992', u'Parcel #: 02M19002C', u'Zillow Home ID: 69102684']	http://photos3.zillowstatic.com/p_e/IS9l6oeibvhct81000000000.jpg	59000.0	[]	1668.0	NC	144471.0	27524	69102684
2.5	3	Four Oaks	[u'Lot: 0.32 acres', u'Single Family', u'Built in 2005', u'All time views: 522', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $118,000', u'Last sale price/sqft: $84', u'Fireplace', u'Parking: Garage - Attached, 483 sqft garage', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,405 sqft', u'Last remodel year: 2005', u'Parcel #: 08I11012Z', u'Zillow Home ID: 69103146']	http://photos3.zillowstatic.com/p_e/IS9h7mu403amlx1000000000.jpg	118000.0	[]	1405.0	NC	139121.0	27524	69103146
3.5	4	Four Oaks	[u'Lot: 0.73 acres', u'Single Family', u'Built in 2003', u'All time views: 2,139', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $730,000', u'Last sale price/sqft: $139', u'Fireplace', u'Parking: Garage - Attached, 625 sqft garage', u'Pool', u'Exterior material: Stucco', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 5,237 sqft', u'Last remodel year: 2003', u'Parcel #: 08J11024L', u'Zillow Home ID: 69131260']	http://photos2.zillowstatic.com/p_e/ISt8e17ipivn5w0000000000.jpg	730000.0	[]	5237.0	NC	852219.0	27524	69131260
2.0	3	Four Oaks	[u'Lot: 0.69 acres', u'Single Family', u'Built in 1997', u'All time views: 689', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Oct 2013 for $134,000', u'Last sale price/sqft: $97', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, 4 spaces, 391 sqft garage', u'Dishwasher', u'Range / Oven', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,376 sqft', u'Last remodel year: 1997', u'Parcel #: 07F06021D', u'Zillow Home ID: 69094336']	http://photos1.zillowstatic.com/p_e/IS-16tpgeiit99i5.jpg	134000.0	[]	1376.0	NC	150254.0	27524	69094336
2.0	3	Four Oaks	[u'Lot: 0.98 acres', u'Single Family', u'Built in 2001', u'All time views: 598', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2013 for $120,000', u'Last sale price/sqft: $100', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Security System', u'Wired', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Family room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,206 sqft', u'Last remodel year: 2001', u'Parcel #: 07G07012L', u'Zillow Home ID: 69105494']	http://photos3.zillowstatic.com/p_e/ISh7lgmmkqibm70000000000.jpg	120000.0	[]	1206.0	NC	126214.0	27524	69105494
3.0	3	Four Oaks	[u'Lot: 1.22 acres', u'Single Family', u'Built in 2007', u'All time views: 1,087', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2013 for $182,500', u'Last sale price/sqft: $83', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, 4 spaces, 564 sqft garage', u'Security System', u'Wired', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 12', u'Stories: 15', u'Structure type: Ranch', u'Floor size: 2,201 sqft', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 07F07007P', u'Zillow Home ID: 82806660']	http://photos1.zillowstatic.com/p_e/IS-8vazefheb1b1.jpg	182500.0	[]	2201.0	NC	199178.0	27524	82806660
2.0	3	Four Oaks	[u'Lot: 0.68 acres', u'Single Family', u'Built in 2015', u'All time views: 1,923', u'Heating: Heat pump', u'Last sold: Jul 2016 for $122,900', u'Last sale price/sqft: $90', u'Flooring: Carpet', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Dishwasher', u'Equipment: Electric Range', u'Equipment: Ice Maker Connection', u'Equipment: Microwave', u'Porch', u'Shower', u'Tub', u'Design: One Story', u'Fireplace Description: Gas Logs', u'Flooring: Carpet', u'Exterior Finish: Vinyl Ext', u'Flooring: Vinyl Floor', u'Fuel Heat: Electric Fuel', u'Heating: Heat Pump', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'New Construction: Yes', u'Fireplace Description: In Living Room', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Porch Floor: Main', u'Fireplace: 1', u'Breakfast Room Floor: Main', u'A: Heat Pump', u'Style: Ranch', u'Washer Dryer Location: Closet', u'Other Rooms: Entry Foyer', u'Equipment: Elec. Dryer HU', u'Dining: Breakfast Room', u'Roof: Roof Age 0-5 Years', u'Water: County Water', u'Washer Dryer Location: Kitchen', u'Foundation: Slab', u'Fuel Heat: Gas LP', u'Warranty Program', u'A: C Age 0-3 Years', u'Covered Porch', u'Heating: Heat Age 0-3 Yrs', u'Water Heater: Water Htr Age 0-3 Yrs', u'Attic Description: Skuttle', u'Subdivision: SawMill Place', u'Ceiling Fan', u'Smoke Alarm', u'Walk in Closet', u'Restrictive Covenants: Yes', u'Country: USA', u'Cable TV Available', u'HOA 1 Fees Required: Yes', u'Acres: .51-.75 Acres', u'HOA 1 Fee Payment: Annually', u'Pantry', u'LA1Agent Phone1 CountryId: United States (+1)', u'Microwave', u'Stories: 0', u'Floor size: 1,371 sqft', u'Zillow Home ID: 2100136168']	http://photos2.zillowstatic.com/p_e/ISdsazkmnl6e0s1000000000.jpg	122900.0	[]	1371.0	NC	135122.0	27524	2100136168
2.5	3	Four Oaks	[u'Baths: 2 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2016', u'All time views: 101', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $238,710', u'Last sale price/sqft: $108', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Porch', u'Security System', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Shower', u'New Construction: Yes', u'Design: 1.5 Story', u'Other Rooms: Finish', u'Parking: Concrete', u'Water: County Water', u'Foundation: Slab', u'Attic Description: Walk In', u'Subdivision: Lakewood Estates', u'Parking: Garage', u'Granite Counter Tops', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Pantry', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Structure type: Bungalow', u'Floor size: 2,213 sqft', u'Parcel #: 07G07013V', u'Zillow Home ID: 83180108']	http://photos2.zillowstatic.com/p_e/ISp5dnbox2g0v91000000000.jpg	238710.0	[]	2213.0	NC	0.0	27524	83180108
2.0	3	Four Oaks	[u'Lot: 0.42 acres', u'Single Family', u'Built in 1986', u'All time views: 2,720', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $130,000', u'Last sale price/sqft: $69', u'Ceiling Fan', u'Deck', u'Flooring: Laminate, Linoleum / Vinyl, Tile', u'Parking: Garage - Detached, 576 sqft garage', u'Porch', u'Security System', u'Dishwasher', u'Dryer', u'Microwave', u'Office', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,878 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1989', u'Laundry: In Unit', u'Parcel #: 08H10021O', u'Zillow Home ID: 69091325']	http://photos2.zillowstatic.com/p_e/ISp98yfwvdyrw60000000000.jpg	130000.0	[]	1878.0	NC	148540.0	27524	69091325
2.5	3	Four Oaks	[u'Baths: 2 full, 1 half', u'Lot: 7.99 acres', u'Single Family', u'Built in 1987', u'All time views: 2,455', u'Heating: Heat pump', u'Last sold: Jul 2016 for $325,000', u'Last sale price/sqft: $148', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached', u'Pool', u'Porch', u'Security System', u'View: Water', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Ice Maker Connection', u'Shower', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Parking: Gravel', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Utility Room Floor: Main', u'Design: 1.5 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Storage Shed', u'Other Rooms: 1st Floor Bedroom', u'Bedroom 3 Floor: Second', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Other Rooms: Family Room', u'Other Rooms: Office', u'Other Rooms: Utility Room', u'Other Area: Main', u'Office: Main', u'Breakfast Room Floor: Main', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Fenced Yard', u'Garage Floor: Main', u'Subdivision: Not in a Subdivision', u'Horses Allowed', u'Other Rooms: Finish', u'Style: Transitional', u'Parking: Parking Pad', u'Other Area: Main', u'Accessibility: Level Flooring', u'Accessibility: Main Floor Laundry', u'Lot Description: Pasture', u'Parking: Side', u'Other Rooms: Sun Room', u'Detached Workshop', u'Warranty Program', u'Lot Description: Garden Area', u'Other Rooms: Workshop', u'Barn', u'Private', u'Lvng Area: Additional', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Smoke Alarm', u'Bookshelves', u'Pantry', u'Acres: 6-10.9 Acres', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Stories: 0', u'Floor size: 2,195 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2100316990']	http://photos1.zillowstatic.com/p_e/ISyz1xdu9ykpfg1000000000.jpg	325000.0	[]	2195.0	NC	267268.0	27524	2100316990
3.0	4	Four Oaks	[u'Baths: 2 full, 1 half', u'Lot: 0.57 acres', u'Single Family', u'Built in 2005', u'All time views: 2,125', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Jul 2016 for $223,000', u'Last sale price/sqft: $93', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 3 spaces, 578 sqft garage', u'Porch', u'A: Central Air', u'Attic Description: Floored', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Ice Maker Connection', u'Gutters', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Roof: Shingle', u'Attic Description: Pull Down', u'Style: Traditional', u'Living Room Floor: Main', u'Shower', u'Design: 2 Story', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Hardwood Trees', u'Other Area: Main', u'Breakfast Room Floor: Main', u'Bonus Room Floor: Second', u'Other Rooms: Entry Foyer', u'Insulated Windows', u'Other Rooms: Finish', u'Parking: Concrete', u'Water: County Water', u'Other Rooms: 3 Season Room', u'Pool: Above Ground Pool', u'Water: Sand Filter', u'Play Equipment', u'Subdivision: Dell Meadows', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'9 Ft Ceiling', u'Granite Counter Tops', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'Acres: .51-.75 Acres', u'HOA 1 Fee Payment: Annually', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,407 sqft', u'Heating: Electric', u'Last remodel year: 2005', u'Parcel #: 07G06013K', u'Zillow Home ID: 69104447']	http://photos1.zillowstatic.com/p_e/IS1nehp4x93nu40000000000.jpg	223000.0	[]	2407.0	NC	226518.0	27524	69104447
3.0	3	Four Oaks	[u'Lot: 0.6 acres', u'Single Family', u'Built in 2006', u'All time views: 1,355', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $218,000', u'Last sale price/sqft: $80', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 528 sqft garage', u'Porch', u'Vaulted Ceiling', u'Large walk in unfinished area for storage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Craftsman', u'Floor size: 2,725 sqft', u'Last remodel year: 2006', u'Parcel #: 07G06013L', u'Zillow Home ID: 84708503']	http://photos1.zillowstatic.com/p_e/ISp1auvwncivkk0000000000.jpg	218000.0	[]	2725.0	NC	253434.0	27524	84708503
1.0	2	Four Oaks	[u'Lot: 1.25 acres', u'Single Family', u'Built in 1956', u'All time views: 846', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $92,000', u'Last sale price/sqft: $77', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Basement Description: No Basement', u'Shower', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Utility Room Floor: Main', u'Storm Doors', u'Family Room Floor: Main', u'Fireplace Description: Wood Stove Insert', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Other Rooms: Family Room', u'Other Rooms: Office', u'Style: Ranch', u'Subdivision: Not in a Subdivision', u'Other Rooms: Finish', u'Water: County Water', u'Granite Counter Tops', u'Acres: 1-2.9 Acres', u'Pantry', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Last remodel year: 1963', u'Laundry: In Unit', u'Parcel #: 01G10026A', u'Zillow Home ID: 69122284']	http://photos2.zillowstatic.com/p_e/ISdk8cz5tjhd391000000000.jpg	92000.0	[]	1200.0	NC	97351.0	27524	69122284
2.5	3	Four Oaks	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1995', u'All time views: 4,286', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $147,000', u'Last sale price/sqft: $147,000', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Patio', u'Appliance: RANGE', u'Fireplace: None', u'PropertyType: Residential', u'TypeHeat: C', u'Construction Type: Vinyl Siding', u'SiteDescription: REAR FENCING', u'Misc: MBR DOWNSTAIRS', u'Sewer: City', u'Water: City', u'Condition: Good', u'Electric: City', u'Contingency Type: Contingent on closing', u'SqFt Range: 1601 TO 1700', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1 sqft', u'Heating: Electric', u'Last remodel year: 2006', u'Laundry: In Unit', u'Parcel #: 08010019F', u'Zillow Home ID: 69093592']	http://photos2.zillowstatic.com/p_e/IS521080jf78em0000000000.jpg	147000.0	[]	1.0	NC	151263.0	27524	69093592
3.0	4	Four Oaks	[u'Lot: 5 acres', u'Single Family', u'Built in 2004', u'All time views: 2,494', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $600,000', u'Last sale price/sqft: $196', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: Garage - Attached, 5 spaces, 600 sqft garage', u'Pond', u'Pool', u'Porch', u'RV Parking', u'Security System', u'View: Water', u'Waterfront', u'Topography: Level', u'Vegetation: Cleared', u'Subdivision: Not in a Subdivision', u'Improvements: Driveway', u'Topography: Sloped', u'Miscellaneous: Horses OK', u'Vegetation: Croplands', u'Topography: Undeveloped Area', u'Vegetation: Hardwoods', u'Vegetation: Heavy Wood', u'Road Frontage Description: Easement Unpaved', u'Utilities: Electricity on Site', u'Type: Farm', u'Utilities: Telephone on Site', u'Water Supply: Well On Site', u'Vegetation: Brush', u'Lot Description: Partially Cleared', u'Lot Description: Secluded', u'Lot Description: Open', u'Road Description: Private Road', u'Topography: Flood Plain', u'Easements: Utility', u'Sewer: 4 Br Max', u'Buildings: Main House', u'Buildings: Hay Shed', u'Buildings: Garage', u'Buildings: Storage Shed', u'Buildings: Tractor Shed', u'Buildings: Workshop', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,058 sqft', u'Heating: Electric', u'Last remodel year: 2005', u'Parcel #: 08H10013Z', u'Zillow Home ID: 69120763']	http://photos2.zillowstatic.com/p_e/IStkfebv76rgax0000000000.jpg	600000.0	[]	3058.0	NC	0.0	27524	69120763
3.0	3	Four Oaks	[u'Lot: 1.83 acres', u'Single Family', u'Built in 2002', u'All time views: 7,543', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: May 2016 for $167,000', u'Last sale price/sqft: $63', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Jetted Tub', u'Security System', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Subdivision: Not in a Subdivision', u'Garden Tub', u'Other Rooms: Great Room', u'Other Rooms: Workshop', u'Parking: No Driveway', u'Washer Dryer Location: Laundry Room', u'Country: USA', u'Acres: 1-2.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dryer', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 11', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,645 sqft', u'Last remodel year: 2010', u'Laundry: In Unit', u'Parcel #: 07G09056F', u'Zillow Home ID: 69100034']	http://photos3.zillowstatic.com/p_e/ISxfqq1dknodrj1000000000.jpg	167000.0	[]	2645.0	NC	165892.0	27524	69100034
2.5	3	Four Oaks	[u'Baths: 2 full, 1 half', u'Lot: 0.59 acres', u'Single Family', u'Built in 2016', u'All time views: 450', u'Heating: Forced air, Heat pump', u'Last sold: May 2016 for $209,900', u'Last sale price/sqft: $113', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Porch', u'Security System', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Ice Maker Connection', u'Design: One Story', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'New Construction: Yes', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Utility Room', u'Garage Floor: Main', u'Equipment: Garage Opener', u'Equipment: Self Clean Oven', u'Parking: Concrete', u'Water: County Water', u'Foundation: Slab', u'Subdivision: Lakewood Estates', u'Parking: Garage', u'Granite Counter Tops', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: .51-.75 Acres', u'Pantry', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 0', u'Structure type: Bungalow', u'Floor size: 1,853 sqft', u'Laundry: In Unit', u'Parcel #: 07G07014G', u'Zillow Home ID: 83182515']	http://photos2.zillowstatic.com/p_e/IS56s73whsykbq0000000000.jpg	209900.0	[]	1853.0	NC	0.0	27524	83182515
2.0	3	Four Oaks	[u'Lot: 0.94 acres', u'Single Family', u'Built in 2016', u'All time views: 718', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: May 2016 for $199,900', u'Last sale price/sqft: $100', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Craftsman', u'Floor size: 2,000 sqft', u'Heating: Electric', u'Zillow Home ID: 2099170366']	http://photos3.zillowstatic.com/p_e/ISt8yo22fh94cl1000000000.jpg	199900.0	[]	2000.0	NC	198379.0	27524	2099170366
