baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.5	4	Manson	[u'Baths: 3 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2006', u'All time views: 6,646', u'HOA Fee: $300/mo', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: May 2016 for $403,500', u'Last sale price/sqft: $102', u'Flooring: Carpet, Hardwood, Softwood, Tile', u'Parking: Garage - Attached, 3 spaces', u'Unfinished basement', u'View: Water', u'Heating: Heat Pump', u'Water Heater: Electric', u'Water: Public', u'Floors: Hardwood', u'Patio: Deck', u'Laundry Room', u'Property Type: Residential', u'Fuel Source: Electric', u'Heating: C', u'Roof Type: Composition', u'Appliances: Refrigerator', u'1st Floor Master Bedroom', u'Dining Room', u'Floors: Wall Carpet', u'Attic: Access Only', u'Appliances: Dishwasher', u'Fireplace: 1', u'Patio: Patio', u'Patio: Porch', u'Patio: Back', u'Views: Woodlands', u'Patio: Screened', u'Floors: Hard Tile', u'Basement: Full', u'Basement: Finished', u'Lake View', u'Water View', u'Under 1 Acre', u'Boat Dock Permit: Waterview', u'Views: Waterview', u'Views: Cove', u'Cathedral', u'Appliances: Range Top', u'Foundation: Combination', u'Roof Type: 6-10', u'Study', u'Type & Stories: Traditional', u'Attic: Floored', u'Smoke Detector', u'Basement: Basement Outside Entrance', u'Appliances: Double Oven', u'High Ceilings', u'Boat Dock Permit: Lake Access', u'Miscellaneous: Fee(s)', u'Concrete Drive', u'SqFt Range: 3601-4000 SqFt', u'Basement: Basement Workshop', u'Security System', u'Irrigation System', u'Exterior Construction: Wood Composite Siding', u'Type & Stories: 3 Story', u'Boat Dock Permit: Buoy in Place', u'Water: Private Septic In Place', u'Microwave', u'Dining room', u'Office', u'Pantry', u'Workshop', u'Foundation type: Concrete Block', u'Roof type: Shake Shingle', u'Room count: 12', u'Stories: 0', u'Structure type: Craftsman', u'Floor size: 3,958 sqft', u'Heating: Electric', u'Parcel #: B1  44', u'Zillow Home ID: 114869314']	http://photos2.zillowstatic.com/p_e/ISp594aj8a3o4j1000000000.jpg	403500.0	[]	3958.0	NC	436409.0	27553	114869314
2.0	3	Manson	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1995', u'All time views: 2,210', u'Cooling: Other', u'Heating: Other', u'Last sold: Jan 2016 for $247,100', u'Last sale price/sqft: $126', u'Attic', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Unfinished basement', u'Waterfront', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Exterior material: Other', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,968 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: A2B  1', u'Zillow Home ID: 114869731']	http://photos3.zillowstatic.com/p_e/ISxrjd8o7yc2y30000000000.jpg	247100.0	[]	1968.0	NC	329167.0	27553	114869731
2.5	3	Manson	[u'Baths: 2 full, 1 half', u'Lot: 0.79 acres', u'Single Family', u'Built in 2009', u'All time views: 4,669', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Nov 2015 for $245,000', u'Last sale price/sqft: $111', u'Deck', u'Fireplace', u'Flooring: Laminate, Tile', u'Garden', u'Hot Tub/Spa', u'Parking: Garage - Detached, 4 spaces', u'Porch', u'Waterfront', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'A: Zoned System', u'Foundation: Crawl Space', u'Work Island', u'Open Foyer', u'Style: 1.5 Story', u'Water Amenities: Other-See Remarks', u'Basement: None', u'Misc Info: Warranty Program', u'Gravel Drive', u'Water: Public Water Available', u'Views: Secluded', u'Flooring: 2015', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 2,200 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 0578B04007', u'Zillow Home ID: 114865614']	http://photos2.zillowstatic.com/p_e/ISd8jct5a2fciq1000000000.jpg	245000.0	[]	2200.0	NC	294937.0	27553	114865614
3.5	4	Manson	[u'Baths: 3 full, 1 half', u'Lot: 1.3 acres', u'Single Family', u'Built in 2005', u'177 days on Zillow', u'Views since listing: 2,138', u'All time views: 2,138', u'9 shoppers saved this home', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2015 for $390,000', u'Last sale price/sqft: $81', u'MLS #: 2077147', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached', u'Patio', u'Area Description: Fishing', u'Area Amenities: Area Fishing', u'Pre-Wiring: Phone Jacks', u'Body of Water: Lake', u'Area Amenities: Area Skiing', u'Lot Description: Access Type - Water', u'Stories: 0', u'Floor size: 4,788 sqft', u'Heating: Electric', u'Parcel #: 0578C01005', u'Zillow Home ID: 125510325']	http://photos3.zillowstatic.com/p_e/ISu86z7rsakdj21000000000.jpg	390000.0	[]	4788.0	NC	419035.0	27553	125510325
2.0	3	Manson	[u'Lot: 0.93 acres', u'Single Family', u'Built in 2003', u'All time views: 1,338', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2015 for $85,000', u'Last sale price/sqft: $61', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 2 spaces', u'Porch', u'Property Type: Vacation', u'Appliances: None', u'Roof: Composition Shingle', u'Heating: Heat Pump', u'A: Central', u'Flooring: Wall to Wall Carpet', u'Water: Well Water', u'Sewer: Septic', u'Porch: Front', u'Porch: Deck', u'Foundation: Crawl Space', u'Fireplace: Living Room', u'Walk-in Closet(s)', u'Work Island', u'or Dryer Hookup', u'Misc Info: None', u'Exterior: Siding-Vinyl', u'Views: Other-See Remarks', u'Windows: Storm-All', u'Doors: Storm-All', u'Flooring: Vinyl', u'Porch: Rear', u'Basement: None', u'Construction: Mobile Home-Double', u'Gravel Drive', u'Style: 1 Story', u'Garage: Double Detached Garage', u'Fireplace: Dining Combo', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,400 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2104424441']	http://photos2.zillowstatic.com/p_e/IShzm4cxgw1q0e1000000000.jpg	85000.0	[]	1400.0	NC	114414.0	27553	2104424441
2.5	3	Manson	[u'Lot: 4.15 acres', u'Single Family', u'Built in 1976', u'All time views: 1,065', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Oct 2014 for $150,000', u'Last sale price/sqft: $90', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Attached, 3 spaces, 400 sqft garage', u'Dining room', u'Family room', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,675 sqft', u'Heating: Other', u'Parcel #: A2D  4', u'Zillow Home ID: 114870783']	http://photos1.zillowstatic.com/p_e/IS1vc94smei7ly0000000000.jpg	150000.0	[]	1675.0	NC	220718.0	27553	114870783
3.0	3	Manson	[u'Lot: 1.51 acres', u'Single Family', u'Built in 1994', u'All time views: 2,106', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2014 for $220,000', u'Last sale price/sqft: $95', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Office', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 15', u'Structure type: Cape cod', u'Floor size: 2,324 sqft', u'Zillow Home ID: 2137218176']	http://photos1.zillowstatic.com/p_e/ISdofgqwfifbm71000000000.jpg	220000.0	[]	2324.0	NC	322304.0	27553	2137218176
3.5	4	Manson	[u'Baths: 3 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2006', u'All time views: 6,640', u'HOA Fee: $300/mo', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: May 2016 for $403,500', u'Last sale price/sqft: $102', u'Flooring: Carpet, Hardwood, Softwood, Tile', u'Parking: Garage - Attached, 3 spaces', u'Unfinished basement', u'View: Water', u'Heating: Heat Pump', u'Water Heater: Electric', u'Water: Public', u'Floors: Hardwood', u'Patio: Deck', u'Laundry Room', u'Property Type: Residential', u'Fuel Source: Electric', u'Heating: C', u'Roof Type: Composition', u'Appliances: Refrigerator', u'1st Floor Master Bedroom', u'Dining Room', u'Floors: Wall Carpet', u'Attic: Access Only', u'Appliances: Dishwasher', u'Fireplace: 1', u'Patio: Patio', u'Patio: Porch', u'Patio: Back', u'Views: Woodlands', u'Patio: Screened', u'Floors: Hard Tile', u'Basement: Full', u'Basement: Finished', u'Lake View', u'Water View', u'Under 1 Acre', u'Boat Dock Permit: Waterview', u'Views: Waterview', u'Views: Cove', u'Cathedral', u'Appliances: Range Top', u'Foundation: Combination', u'Roof Type: 6-10', u'Study', u'Type & Stories: Traditional', u'Attic: Floored', u'Smoke Detector', u'Basement: Basement Outside Entrance', u'Appliances: Double Oven', u'High Ceilings', u'Boat Dock Permit: Lake Access', u'Miscellaneous: Fee(s)', u'Concrete Drive', u'SqFt Range: 3601-4000 SqFt', u'Basement: Basement Workshop', u'Security System', u'Irrigation System', u'Exterior Construction: Wood Composite Siding', u'Type & Stories: 3 Story', u'Boat Dock Permit: Buoy in Place', u'Water: Private Septic In Place', u'Microwave', u'Dining room', u'Office', u'Pantry', u'Workshop', u'Foundation type: Concrete Block', u'Roof type: Shake Shingle', u'Room count: 12', u'Stories: 0', u'Structure type: Craftsman', u'Floor size: 3,958 sqft', u'Heating: Electric', u'Parcel #: B1  44', u'Zillow Home ID: 114869314']	http://photos2.zillowstatic.com/p_e/ISp594aj8a3o4j1000000000.jpg	403500.0	[]	3958.0	NC	436409.0	27553	114869314
2.0	3	Manson	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1995', u'Cooling: Other', u'Heating: Other', u'Last sold: Jan 2016 for $247,100', u'Last sale price/sqft: $126', u'Attic', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Unfinished basement', u'Waterfront', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Exterior material: Other', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,968 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: A2B  1', u'Zillow Home ID: 114869731']	http://photos3.zillowstatic.com/p_e/ISxrjd8o7yc2y30000000000.jpg	247100.0	[]	1968.0	NC	329167.0	27553	114869731
2.5	3	Manson	[u'Baths: 2 full, 1 half', u'Lot: 0.79 acres', u'Single Family', u'Built in 2009', u'All time views: 4,672', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Nov 2015 for $245,000', u'Last sale price/sqft: $111', u'Deck', u'Fireplace', u'Flooring: Laminate, Tile', u'Garden', u'Hot Tub/Spa', u'Parking: Garage - Detached, 4 spaces', u'Porch', u'Waterfront', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'A: Zoned System', u'Foundation: Crawl Space', u'Work Island', u'Open Foyer', u'Style: 1.5 Story', u'Water Amenities: Other-See Remarks', u'Basement: None', u'Misc Info: Warranty Program', u'Gravel Drive', u'Water: Public Water Available', u'Views: Secluded', u'Flooring: 2015', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 2,200 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 0578B04007', u'Zillow Home ID: 114865614']	http://photos2.zillowstatic.com/p_e/ISd8jct5a2fciq1000000000.jpg	245000.0	[]	2200.0	NC	294937.0	27553	114865614
3.5	4	Manson	[u'Baths: 3 full, 1 half', u'Lot: 1.3 acres', u'Single Family', u'Built in 2005', u'177 days on Zillow', u'Views since listing: 2,131', u'All time views: 2,133', u'9 shoppers saved this home', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2015 for $390,000', u'Last sale price/sqft: $81', u'MLS #: 2077147', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached', u'Patio', u'Area Description: Fishing', u'Area Amenities: Area Fishing', u'Pre-Wiring: Phone Jacks', u'Body of Water: Lake', u'Area Amenities: Area Skiing', u'Lot Description: Access Type - Water', u'Stories: 0', u'Floor size: 4,788 sqft', u'Heating: Electric', u'Parcel #: 0578C01005', u'Zillow Home ID: 125510325']	http://photos3.zillowstatic.com/p_e/ISu86z7rsakdj21000000000.jpg	390000.0	[]	4788.0	NC	419035.0	27553	125510325
2.0	3	Manson	[u'Lot: 0.93 acres', u'Single Family', u'Built in 2003', u'All time views: 1,337', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2015 for $85,000', u'Last sale price/sqft: $61', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 2 spaces', u'Porch', u'Property Type: Vacation', u'Appliances: None', u'Roof: Composition Shingle', u'Heating: Heat Pump', u'A: Central', u'Flooring: Wall to Wall Carpet', u'Water: Well Water', u'Sewer: Septic', u'Porch: Front', u'Porch: Deck', u'Foundation: Crawl Space', u'Fireplace: Living Room', u'Walk-in Closet(s)', u'Work Island', u'or Dryer Hookup', u'Misc Info: None', u'Exterior: Siding-Vinyl', u'Views: Other-See Remarks', u'Windows: Storm-All', u'Doors: Storm-All', u'Flooring: Vinyl', u'Porch: Rear', u'Basement: None', u'Construction: Mobile Home-Double', u'Gravel Drive', u'Style: 1 Story', u'Garage: Double Detached Garage', u'Fireplace: Dining Combo', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,400 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2104424441']	http://photos2.zillowstatic.com/p_e/IShzm4cxgw1q0e1000000000.jpg	85000.0	[]	1400.0	NC	114414.0	27553	2104424441
2.5	3	Manson	[u'Lot: 4.15 acres', u'Single Family', u'Built in 1976', u'All time views: 1,066', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Oct 2014 for $150,000', u'Last sale price/sqft: $90', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Attached, 3 spaces, 400 sqft garage', u'Dining room', u'Family room', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,675 sqft', u'Heating: Other', u'Parcel #: A2D  4', u'Zillow Home ID: 114870783']	http://photos1.zillowstatic.com/p_e/IS1vc94smei7ly0000000000.jpg	150000.0	[]	1675.0	NC	220718.0	27553	114870783
3.0	3	Manson	[u'Lot: 1.51 acres', u'Single Family', u'Built in 1994', u'All time views: 2,114', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2014 for $220,000', u'Last sale price/sqft: $95', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Office', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 15', u'Structure type: Cape cod', u'Floor size: 2,324 sqft', u'Zillow Home ID: 2137218176']	http://photos1.zillowstatic.com/p_e/ISdofgqwfifbm71000000000.jpg	220000.0	[]	2324.0	NC	322304.0	27553	2137218176
3.5	4	Manson	[u'Baths: 3 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2006', u'All time views: 6,648', u'HOA Fee: $300/mo', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: May 2016 for $403,500', u'Last sale price/sqft: $102', u'Flooring: Carpet, Hardwood, Softwood, Tile', u'Parking: Garage - Attached, 3 spaces', u'Unfinished basement', u'View: Water', u'Heating: Heat Pump', u'Water Heater: Electric', u'Water: Public', u'Floors: Hardwood', u'Patio: Deck', u'Laundry Room', u'Property Type: Residential', u'Fuel Source: Electric', u'Heating: C', u'Roof Type: Composition', u'Appliances: Refrigerator', u'1st Floor Master Bedroom', u'Dining Room', u'Floors: Wall Carpet', u'Attic: Access Only', u'Appliances: Dishwasher', u'Fireplace: 1', u'Patio: Patio', u'Patio: Porch', u'Patio: Back', u'Views: Woodlands', u'Patio: Screened', u'Floors: Hard Tile', u'Basement: Full', u'Basement: Finished', u'Lake View', u'Water View', u'Under 1 Acre', u'Boat Dock Permit: Waterview', u'Views: Waterview', u'Views: Cove', u'Cathedral', u'Appliances: Range Top', u'Foundation: Combination', u'Roof Type: 6-10', u'Study', u'Type & Stories: Traditional', u'Attic: Floored', u'Smoke Detector', u'Basement: Basement Outside Entrance', u'Appliances: Double Oven', u'High Ceilings', u'Boat Dock Permit: Lake Access', u'Miscellaneous: Fee(s)', u'Concrete Drive', u'SqFt Range: 3601-4000 SqFt', u'Basement: Basement Workshop', u'Security System', u'Irrigation System', u'Exterior Construction: Wood Composite Siding', u'Type & Stories: 3 Story', u'Boat Dock Permit: Buoy in Place', u'Water: Private Septic In Place', u'Microwave', u'Dining room', u'Office', u'Pantry', u'Workshop', u'Foundation type: Concrete Block', u'Roof type: Shake Shingle', u'Room count: 12', u'Stories: 0', u'Structure type: Craftsman', u'Floor size: 3,958 sqft', u'Heating: Electric', u'Parcel #: B1  44', u'Zillow Home ID: 114869314']	http://photos2.zillowstatic.com/p_e/ISp594aj8a3o4j1000000000.jpg	403500.0	[]	3958.0	NC	436409.0	27553	114869314
2.0	3	Manson	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1995', u'All time views: 2,203', u'Cooling: Other', u'Heating: Other', u'Last sold: Jan 2016 for $247,100', u'Last sale price/sqft: $126', u'Attic', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Unfinished basement', u'Waterfront', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Exterior material: Other', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,968 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: A2B  1', u'Zillow Home ID: 114869731']	http://photos3.zillowstatic.com/p_e/ISxrjd8o7yc2y30000000000.jpg	247100.0	[]	1968.0	NC	329167.0	27553	114869731
2.5	3	Manson	[u'Baths: 2 full, 1 half', u'Lot: 0.79 acres', u'Single Family', u'Built in 2009', u'All time views: 4,664', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Nov 2015 for $245,000', u'Last sale price/sqft: $111', u'Deck', u'Fireplace', u'Flooring: Laminate, Tile', u'Garden', u'Hot Tub/Spa', u'Parking: Garage - Detached, 4 spaces', u'Porch', u'Waterfront', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'A: Zoned System', u'Foundation: Crawl Space', u'Work Island', u'Open Foyer', u'Style: 1.5 Story', u'Water Amenities: Other-See Remarks', u'Basement: None', u'Misc Info: Warranty Program', u'Gravel Drive', u'Water: Public Water Available', u'Views: Secluded', u'Flooring: 2015', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 2,200 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 0578B04007', u'Zillow Home ID: 114865614']	http://photos2.zillowstatic.com/p_e/ISd8jct5a2fciq1000000000.jpg	245000.0	[]	2200.0	NC	294937.0	27553	114865614
3.5	4	Manson	[u'Baths: 3 full, 1 half', u'Lot: 1.3 acres', u'Single Family', u'Built in 2005', u'177 days on Zillow', u'Views since listing: 2,142', u'All time views: 2,144', u'9 shoppers saved this home', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2015 for $390,000', u'Last sale price/sqft: $81', u'MLS #: 2077147', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached', u'Patio', u'Area Description: Fishing', u'Area Amenities: Area Fishing', u'Pre-Wiring: Phone Jacks', u'Body of Water: Lake', u'Area Amenities: Area Skiing', u'Lot Description: Access Type - Water', u'Stories: 0', u'Floor size: 4,788 sqft', u'Heating: Electric', u'Parcel #: 0578C01005', u'Zillow Home ID: 125510325']	http://photos3.zillowstatic.com/p_e/ISu86z7rsakdj21000000000.jpg	390000.0	[]	4788.0	NC	419035.0	27553	125510325
2.0	3	Manson	[u'Lot: 0.93 acres', u'Single Family', u'Built in 2003', u'All time views: 1,328', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2015 for $85,000', u'Last sale price/sqft: $61', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Detached, 2 spaces', u'Porch', u'Property Type: Vacation', u'Appliances: None', u'Roof: Composition Shingle', u'Heating: Heat Pump', u'A: Central', u'Flooring: Wall to Wall Carpet', u'Water: Well Water', u'Sewer: Septic', u'Porch: Front', u'Porch: Deck', u'Foundation: Crawl Space', u'Fireplace: Living Room', u'Walk-in Closet(s)', u'Work Island', u'or Dryer Hookup', u'Misc Info: None', u'Exterior: Siding-Vinyl', u'Views: Other-See Remarks', u'Windows: Storm-All', u'Doors: Storm-All', u'Flooring: Vinyl', u'Porch: Rear', u'Basement: None', u'Construction: Mobile Home-Double', u'Gravel Drive', u'Style: 1 Story', u'Garage: Double Detached Garage', u'Fireplace: Dining Combo', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,400 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2104424441']	http://photos2.zillowstatic.com/p_e/IShzm4cxgw1q0e1000000000.jpg	85000.0	[]	1400.0	NC	114414.0	27553	2104424441
2.5	3	Manson	[u'Lot: 4.15 acres', u'Single Family', u'Built in 1976', u'All time views: 1,059', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Oct 2014 for $150,000', u'Last sale price/sqft: $90', u'Fireplace', u'Flooring: Carpet', u'Parking: Garage - Attached, 3 spaces, 400 sqft garage', u'Dining room', u'Family room', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,675 sqft', u'Heating: Other', u'Parcel #: A2D  4', u'Zillow Home ID: 114870783']	http://photos1.zillowstatic.com/p_e/IS1vc94smei7ly0000000000.jpg	150000.0	[]	1675.0	NC	220718.0	27553	114870783
3.0	3	Manson	[u'Lot: 1.51 acres', u'Single Family', u'Built in 1994', u'All time views: 2,103', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2014 for $220,000', u'Last sale price/sqft: $95', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Office', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 15', u'Structure type: Cape cod', u'Floor size: 2,324 sqft', u'Zillow Home ID: 2137218176']	http://photos1.zillowstatic.com/p_e/ISdofgqwfifbm71000000000.jpg	220000.0	[]	2324.0	NC	322304.0	27553	2137218176
3.5	4	Manson	[u'Baths: 3 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2006', u'All time views: 6,647', u'HOA Fee: $300/mo', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: May 2016 for $403,500', u'Last sale price/sqft: $102', u'Flooring: Carpet, Hardwood, Softwood, Tile', u'Parking: Garage - Attached, 3 spaces', u'Unfinished basement', u'View: Water', u'Heating: Heat Pump', u'Water Heater: Electric', u'Water: Public', u'Floors: Hardwood', u'Patio: Deck', u'Laundry Room', u'Property Type: Residential', u'Fuel Source: Electric', u'Heating: C', u'Roof Type: Composition', u'Appliances: Refrigerator', u'1st Floor Master Bedroom', u'Dining Room', u'Floors: Wall Carpet', u'Attic: Access Only', u'Appliances: Dishwasher', u'Fireplace: 1', u'Patio: Patio', u'Patio: Porch', u'Patio: Back', u'Views: Woodlands', u'Patio: Screened', u'Floors: Hard Tile', u'Basement: Full', u'Basement: Finished', u'Lake View', u'Water View', u'Under 1 Acre', u'Boat Dock Permit: Waterview', u'Views: Waterview', u'Views: Cove', u'Cathedral', u'Appliances: Range Top', u'Foundation: Combination', u'Roof Type: 6-10', u'Study', u'Type & Stories: Traditional', u'Attic: Floored', u'Smoke Detector', u'Basement: Basement Outside Entrance', u'Appliances: Double Oven', u'High Ceilings', u'Boat Dock Permit: Lake Access', u'Miscellaneous: Fee(s)', u'Concrete Drive', u'SqFt Range: 3601-4000 SqFt', u'Basement: Basement Workshop', u'Security System', u'Irrigation System', u'Exterior Construction: Wood Composite Siding', u'Type & Stories: 3 Story', u'Boat Dock Permit: Buoy in Place', u'Water: Private Septic In Place', u'Microwave', u'Dining room', u'Office', u'Pantry', u'Workshop', u'Foundation type: Concrete Block', u'Roof type: Shake Shingle', u'Room count: 12', u'Stories: 0', u'Structure type: Craftsman', u'Floor size: 3,958 sqft', u'Heating: Electric', u'Parcel #: B1  44', u'Zillow Home ID: 114869314']	http://photos2.zillowstatic.com/p_e/ISp594aj8a3o4j1000000000.jpg	403500.0	[]	3958.0	NC	436409.0	27553	114869314
2.0	3	Manson	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1995', u'All time views: 2,214', u'Cooling: Other', u'Heating: Other', u'Last sold: Jan 2016 for $247,100', u'Last sale price/sqft: $126', u'Attic', u'Fireplace', u'Parking: Carport, 200 sqft garage', u'Unfinished basement', u'Waterfront', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Exterior material: Other', u'Foundation type: Concrete Block', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,968 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: A2B  1', u'Zillow Home ID: 114869731']	http://photos3.zillowstatic.com/p_e/ISxrjd8o7yc2y30000000000.jpg	247100.0	[]	1968.0	NC	329167.0	27553	114869731
2.5	3	Manson	[u'Baths: 2 full, 1 half', u'Lot: 0.79 acres', u'Single Family', u'Built in 2009', u'All time views: 4,671', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Nov 2015 for $245,000', u'Last sale price/sqft: $111', u'Deck', u'Fireplace', u'Flooring: Laminate, Tile', u'Garden', u'Hot Tub/Spa', u'Parking: Garage - Detached, 4 spaces', u'Porch', u'Waterfront', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'A: Zoned System', u'Foundation: Crawl Space', u'Work Island', u'Open Foyer', u'Style: 1.5 Story', u'Water Amenities: Other-See Remarks', u'Basement: None', u'Misc Info: Warranty Program', u'Gravel Drive', u'Water: Public Water Available', u'Views: Secluded', u'Flooring: 2015', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 2,200 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 0578B04007', u'Zillow Home ID: 114865614']	http://photos2.zillowstatic.com/p_e/ISd8jct5a2fciq1000000000.jpg	245000.0	[]	2200.0	NC	294937.0	27553	114865614
