baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Collettsville	[u'Lot: 4.07 acres', u'Single Family', u'Built in 1977', u'All time views: 15,166', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Dec 2015 for $82,900', u'Last sale price/sqft: $52', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 391 sqft garage', u'Style: Ranch', u'Interior Walls: Sheetrock', u'Water: Septic', u'Electric: Duke Power', u'Road Surface: Paved', u'Main Bedroom-Main Level', u'Water: Well', u'Cable: Not Known (Cable)', u'Miscellaneous: Acreage', u'Lot Description: Private', u'Property Status: Active', u'Foundation: Crawl Space', u'Lot Description: Level', u'Road Maintenance: Private', u'None', u'Interior Walls: Paneling', u'Acreage Range: 2.5-4.5 acres', u'Range / Oven', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,581 sqft', u'Heating: Electric, Wood / pellet', u'Last remodel year: 1977', u'Parcel #: 04 9W127 55', u'Zillow Home ID: 70113186']	http://photos2.zillowstatic.com/p_e/IS5i5ea0i6ll541000000000.jpg	82900.0	[]	1581.0	NC	138854.0	28611	70113186
1.0	3	Collettsville	[u'Lot: 2.1 acres', u'Single Family', u'Built in 1972', u'All time views: 4,013', u'Heating: Forced air', u'Last sold: Oct 2015 for $52,000', u'Last sale price/sqft: $48', u'Fireplace', u'Parking: Garage - Attached', u'Partial basement', u'Porch', u'Dishwasher', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,092 sqft', u'Heating: Propane butane', u'Last remodel year: 1981', u'Parcel #: 02  5W 7 16A', u'Zillow Home ID: 70077863']	http://photos2.zillowstatic.com/p_e/ISp1utsdpvcv981000000000.jpg	52000.0	[]	1092.0	NC	166290.0	28611	70077863
2.0	2	Collettsville	[u'Lot: 4.75 acres', u'Single Family', u'Built in 1957', u'All time views: 3,085', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Apr 2015 for $58,000', u'Last sale price/sqft: $58', u'Fireplace', u'Waterfront', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Other, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 992 sqft', u'Last remodel year: 1976', u'Parcel #: 13  5W68  4', u'Zillow Home ID: 70088123']	http://photos1.zillowstatic.com/p_e/ISlayf2g6l1ye31000000000.jpg	58000.0	[]	992.0	NC	79892.0	28611	70088123
2.0	4	Collettsville	[u'Lot: 71.72 acres', u'Single Family', u'Built in 1972', u'All time views: 2,919', u'Cooling: None', u'Heating: Baseboard', u'Last sold: Oct 2014 for $410,000', u'Last sale price/sqft: $125', u'548 sqft basement', u'Finished basement', u'Fireplace', u'Parking: 2 spaces, 483 sqft garage', u'Porch', u'View: Water', u'Waterfront', u'Sun room', u'Exterior material: Brick, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,287 sqft', u'Last remodel year: 1981', u'Parcel #: 04 4W115  3', u'Zillow Home ID: 70090043']	http://photos2.zillowstatic.com/p_e/IS-18ysyqbi9aov1.jpg	410000.0	[]	3287.0	NC	306013.0	28611	70090043
1.0	3	Collettsville	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1981', u'30 days on Zillow', u'Views since listing: 688', u'All time views: 1,139', u'5 shoppers saved this home', u'Heating: Baseboard', u'Last sold: Sep 2014 for $9,500', u'Last sale price/sqft: $13', u'MLS #: 9589413', u'Laundry on Main', u'Water: Septic Tank', u'County: Caldwell', u'Style: Ranch', u'Water: Well', u'Cooling: Window Unit', u'Water-Lake: Stream', u'Type: Stick Built', u'Exterior material: Brick, Cement concrete, Vinyl, Wood', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 735 sqft', u'Last remodel year: 1981', u'Parcel #: 04 9W125 96B', u'Zillow Home ID: 70103587']	http://photos1.zillowstatic.com/p_e/ISybjin9xulfaz0000000000.jpg	9500.0	[]	735.0	NC	75019.0	28611	70103587
2.0	2	Collettsville	[u'Lot: 3 acres', u'Single Family', u'Built in 1930', u'105 days on Zillow', u'Views since listing: 2,565', u'All time views: 4,163', u'18 shoppers saved this home', u'Last sold: Mar 2014 for $101,000', u'Last sale price/sqft: $100', u'Auction.com', u'Exterior material: Stucco, Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Bungalow', u'Floor size: 1,012 sqft', u'Parcel #: 13  5W11 42C', u'Zillow Home ID: 92554479']	http://photos1.zillowstatic.com/p_e/ISyj55y0zbl3bb1000000000.jpg	101000.0	[]	1012.0	NC	95526.0	28611	92554479
3.0	3	Collettsville	[u'Baths: 2 full, 1 half', u'Lot: 2.97 acres', u'Single Family', u'Built in 1997', u'All time views: 4,209', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $155,000', u'Last sale price/sqft: $98', u'Deck', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Pool', u'Unfinished basement', u'Water-Lake: None', u'Water: Septic Tank', u'Outbuilding', u'County: Caldwell', u'Water: Well', u'Scenic View', u'Outside Lighting', u'Window Treatment', u'Style: Bsmt', u'Heating: Woodstove', u'Type: Stick Built', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,580 sqft', u'Heating: Other', u'Last remodel year: 1997', u'Laundry: In Unit', u'Parcel #: 04 9W127 55A', u'Zillow Home ID: 70097891']	http://photos3.zillowstatic.com/p_e/IS9lilkuibdc6v0000000000.jpg	155000.0	[]	1580.0	NC	157615.0	28611	70097891
2.0	3	Collettsville	[u'Lot: 4.07 acres', u'Single Family', u'Built in 1977', u'All time views: 15,167', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Dec 2015 for $82,900', u'Last sale price/sqft: $52', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 391 sqft garage', u'Style: Ranch', u'Interior Walls: Sheetrock', u'Water: Septic', u'Electric: Duke Power', u'Road Surface: Paved', u'Main Bedroom-Main Level', u'Water: Well', u'Cable: Not Known (Cable)', u'Miscellaneous: Acreage', u'Lot Description: Private', u'Property Status: Active', u'Foundation: Crawl Space', u'Lot Description: Level', u'Road Maintenance: Private', u'None', u'Interior Walls: Paneling', u'Acreage Range: 2.5-4.5 acres', u'Range / Oven', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,581 sqft', u'Heating: Electric, Wood / pellet', u'Last remodel year: 1977', u'Parcel #: 04 9W127 55', u'Zillow Home ID: 70113186']	http://photos2.zillowstatic.com/p_e/IS5i5ea0i6ll541000000000.jpg	82900.0	[]	1581.0	NC	138854.0	28611	70113186
1.0	3	Collettsville	[u'Lot: 2.1 acres', u'Single Family', u'Built in 1972', u'Heating: Forced air', u'Last sold: Oct 2015 for $52,000', u'Last sale price/sqft: $48', u'Fireplace', u'Parking: Garage - Attached', u'Partial basement', u'Porch', u'Dishwasher', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,092 sqft', u'Heating: Propane butane', u'Last remodel year: 1981', u'Parcel #: 02  5W 7 16A', u'Zillow Home ID: 70077863']	http://photos2.zillowstatic.com/p_e/ISp1utsdpvcv981000000000.jpg	52000.0	[]	1092.0	NC	166290.0	28611	70077863
2.0	2	Collettsville	[u'Lot: 4.75 acres', u'Single Family', u'Built in 1957', u'All time views: 3,086', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Apr 2015 for $58,000', u'Last sale price/sqft: $58', u'Fireplace', u'Waterfront', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Other, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 992 sqft', u'Last remodel year: 1976', u'Parcel #: 13  5W68  4', u'Zillow Home ID: 70088123']	http://photos1.zillowstatic.com/p_e/ISlayf2g6l1ye31000000000.jpg	58000.0	[]	992.0	NC	79892.0	28611	70088123
2.0	4	Collettsville	[u'Lot: 71.72 acres', u'Single Family', u'Built in 1972', u'All time views: 2,926', u'Cooling: None', u'Heating: Baseboard', u'Last sold: Oct 2014 for $410,000', u'Last sale price/sqft: $125', u'548 sqft basement', u'Finished basement', u'Fireplace', u'Parking: 2 spaces, 483 sqft garage', u'Porch', u'View: Water', u'Waterfront', u'Sun room', u'Exterior material: Brick, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,287 sqft', u'Last remodel year: 1981', u'Parcel #: 04 4W115  3', u'Zillow Home ID: 70090043']	http://photos2.zillowstatic.com/p_e/IS-18ysyqbi9aov1.jpg	410000.0	[]	3287.0	NC	306013.0	28611	70090043
1.0	3	Collettsville	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1981', u'30 days on Zillow', u'Views since listing: 690', u'All time views: 1,142', u'5 shoppers saved this home', u'Heating: Baseboard', u'Last sold: Sep 2014 for $9,500', u'Last sale price/sqft: $13', u'MLS #: 9589413', u'Laundry on Main', u'Water: Septic Tank', u'County: Caldwell', u'Style: Ranch', u'Water: Well', u'Cooling: Window Unit', u'Water-Lake: Stream', u'Type: Stick Built', u'Exterior material: Brick, Cement concrete, Vinyl, Wood', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 735 sqft', u'Last remodel year: 1981', u'Parcel #: 04 9W125 96B', u'Zillow Home ID: 70103587']	http://photos1.zillowstatic.com/p_e/ISybjin9xulfaz0000000000.jpg	9500.0	[]	735.0	NC	75019.0	28611	70103587
2.0	2	Collettsville	[u'Lot: 3 acres', u'Single Family', u'Built in 1930', u'105 days on Zillow', u'Views since listing: 2,571', u'All time views: 4,168', u'18 shoppers saved this home', u'Last sold: Mar 2014 for $101,000', u'Last sale price/sqft: $100', u'Auction.com', u'Exterior material: Stucco, Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Bungalow', u'Floor size: 1,012 sqft', u'Parcel #: 13  5W11 42C', u'Zillow Home ID: 92554479']	http://photos1.zillowstatic.com/p_e/ISyj55y0zbl3bb1000000000.jpg	101000.0	[]	1012.0	NC	95526.0	28611	92554479
3.0	3	Collettsville	[u'Baths: 2 full, 1 half', u'Lot: 2.97 acres', u'Single Family', u'Built in 1997', u'All time views: 4,206', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $155,000', u'Last sale price/sqft: $98', u'Deck', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Pool', u'Unfinished basement', u'Water-Lake: None', u'Water: Septic Tank', u'Outbuilding', u'County: Caldwell', u'Water: Well', u'Scenic View', u'Outside Lighting', u'Window Treatment', u'Style: Bsmt', u'Heating: Woodstove', u'Type: Stick Built', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,580 sqft', u'Heating: Other', u'Last remodel year: 1997', u'Laundry: In Unit', u'Parcel #: 04 9W127 55A', u'Zillow Home ID: 70097891']	http://photos3.zillowstatic.com/p_e/IS9lilkuibdc6v0000000000.jpg	155000.0	[]	1580.0	NC	157615.0	28611	70097891
2.0	3	Collettsville	[u'Lot: 4.07 acres', u'Single Family', u'Built in 1977', u'All time views: 15,170', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Dec 2015 for $82,900', u'Last sale price/sqft: $52', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 391 sqft garage', u'Style: Ranch', u'Interior Walls: Sheetrock', u'Water: Septic', u'Electric: Duke Power', u'Road Surface: Paved', u'Main Bedroom-Main Level', u'Water: Well', u'Cable: Not Known (Cable)', u'Miscellaneous: Acreage', u'Lot Description: Private', u'Property Status: Active', u'Foundation: Crawl Space', u'Lot Description: Level', u'Road Maintenance: Private', u'None', u'Interior Walls: Paneling', u'Acreage Range: 2.5-4.5 acres', u'Range / Oven', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,581 sqft', u'Heating: Electric, Wood / pellet', u'Last remodel year: 1977', u'Parcel #: 04 9W127 55', u'Zillow Home ID: 70113186']	http://photos2.zillowstatic.com/p_e/IS5i5ea0i6ll541000000000.jpg	82900.0	[]	1581.0	NC	138854.0	28611	70113186
1.0	3	Collettsville	[u'Lot: 2.1 acres', u'Single Family', u'Built in 1972', u'All time views: 4,012', u'Heating: Forced air', u'Last sold: Oct 2015 for $52,000', u'Last sale price/sqft: $48', u'Fireplace', u'Parking: Garage - Attached', u'Partial basement', u'Porch', u'Dishwasher', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,092 sqft', u'Heating: Propane butane', u'Last remodel year: 1981', u'Parcel #: 02  5W 7 16A', u'Zillow Home ID: 70077863']	http://photos2.zillowstatic.com/p_e/ISp1utsdpvcv981000000000.jpg	52000.0	[]	1092.0	NC	166290.0	28611	70077863
2.0	2	Collettsville	[u'Lot: 4.75 acres', u'Single Family', u'Built in 1957', u'All time views: 3,088', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Apr 2015 for $58,000', u'Last sale price/sqft: $58', u'Fireplace', u'Waterfront', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Other, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 992 sqft', u'Last remodel year: 1976', u'Parcel #: 13  5W68  4', u'Zillow Home ID: 70088123']	http://photos1.zillowstatic.com/p_e/ISlayf2g6l1ye31000000000.jpg	58000.0	[]	992.0	NC	79892.0	28611	70088123
2.0	4	Collettsville	[u'Lot: 71.72 acres', u'Single Family', u'Built in 1972', u'All time views: 2,918', u'Cooling: None', u'Heating: Baseboard', u'Last sold: Oct 2014 for $410,000', u'Last sale price/sqft: $125', u'548 sqft basement', u'Finished basement', u'Fireplace', u'Parking: 2 spaces, 483 sqft garage', u'Porch', u'View: Water', u'Waterfront', u'Sun room', u'Exterior material: Brick, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,287 sqft', u'Last remodel year: 1981', u'Parcel #: 04 4W115  3', u'Zillow Home ID: 70090043']	http://photos2.zillowstatic.com/p_e/IS-18ysyqbi9aov1.jpg	410000.0	[]	3287.0	NC	306013.0	28611	70090043
1.0	3	Collettsville	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1981', u'30 days on Zillow', u'Views since listing: 689', u'All time views: 1,141', u'5 shoppers saved this home', u'Heating: Baseboard', u'Last sold: Sep 2014 for $9,500', u'Last sale price/sqft: $13', u'MLS #: 9589413', u'Laundry on Main', u'Water: Septic Tank', u'County: Caldwell', u'Style: Ranch', u'Water: Well', u'Cooling: Window Unit', u'Water-Lake: Stream', u'Type: Stick Built', u'Exterior material: Brick, Cement concrete, Vinyl, Wood', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 735 sqft', u'Last remodel year: 1981', u'Parcel #: 04 9W125 96B', u'Zillow Home ID: 70103587']	http://photos1.zillowstatic.com/p_e/ISybjin9xulfaz0000000000.jpg	9500.0	[]	735.0	NC	75019.0	28611	70103587
2.0	2	Collettsville	[u'Lot: 3 acres', u'Single Family', u'Built in 1930', u'105 days on Zillow', u'Views since listing: 2,562', u'All time views: 4,160', u'18 shoppers saved this home', u'Last sold: Mar 2014 for $101,000', u'Last sale price/sqft: $100', u'Auction.com', u'Exterior material: Stucco, Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Bungalow', u'Floor size: 1,012 sqft', u'Parcel #: 13  5W11 42C', u'Zillow Home ID: 92554479']	http://photos1.zillowstatic.com/p_e/ISyj55y0zbl3bb1000000000.jpg	101000.0	[]	1012.0	NC	95526.0	28611	92554479
3.0	3	Collettsville	[u'Baths: 2 full, 1 half', u'Lot: 2.97 acres', u'Single Family', u'Built in 1997', u'All time views: 4,201', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $155,000', u'Last sale price/sqft: $98', u'Deck', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Pool', u'Unfinished basement', u'Water-Lake: None', u'Water: Septic Tank', u'Outbuilding', u'County: Caldwell', u'Water: Well', u'Scenic View', u'Outside Lighting', u'Window Treatment', u'Style: Bsmt', u'Heating: Woodstove', u'Type: Stick Built', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,580 sqft', u'Heating: Other', u'Last remodel year: 1997', u'Laundry: In Unit', u'Parcel #: 04 9W127 55A', u'Zillow Home ID: 70097891']	http://photos3.zillowstatic.com/p_e/IS9lilkuibdc6v0000000000.jpg	155000.0	[]	1580.0	NC	157615.0	28611	70097891
2.0	3	Collettsville	[u'Lot: 4.07 acres', u'Single Family', u'Built in 1977', u'All time views: 15,171', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Dec 2015 for $82,900', u'Last sale price/sqft: $52', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 391 sqft garage', u'Style: Ranch', u'Interior Walls: Sheetrock', u'Water: Septic', u'Electric: Duke Power', u'Road Surface: Paved', u'Main Bedroom-Main Level', u'Water: Well', u'Cable: Not Known (Cable)', u'Miscellaneous: Acreage', u'Lot Description: Private', u'Property Status: Active', u'Foundation: Crawl Space', u'Lot Description: Level', u'Road Maintenance: Private', u'None', u'Interior Walls: Paneling', u'Acreage Range: 2.5-4.5 acres', u'Range / Oven', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,581 sqft', u'Heating: Electric, Wood / pellet', u'Last remodel year: 1977', u'Parcel #: 04 9W127 55', u'Zillow Home ID: 70113186']	http://photos2.zillowstatic.com/p_e/IS5i5ea0i6ll541000000000.jpg	82900.0	[]	1581.0	NC	138854.0	28611	70113186
1.0	3	Collettsville	[u'Lot: 2.1 acres', u'Single Family', u'Built in 1972', u'All time views: 4,005', u'Heating: Forced air', u'Last sold: Oct 2015 for $52,000', u'Last sale price/sqft: $48', u'Fireplace', u'Parking: Garage - Attached', u'Partial basement', u'Porch', u'Dishwasher', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,092 sqft', u'Heating: Propane butane', u'Last remodel year: 1981', u'Parcel #: 02  5W 7 16A', u'Zillow Home ID: 70077863']	http://photos2.zillowstatic.com/p_e/ISp1utsdpvcv981000000000.jpg	52000.0	[]	1092.0	NC	166290.0	28611	70077863
2.0	2	Collettsville	[u'Lot: 4.75 acres', u'Single Family', u'Built in 1957', u'All time views: 3,091', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Apr 2015 for $58,000', u'Last sale price/sqft: $58', u'Fireplace', u'Waterfront', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Other, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 992 sqft', u'Last remodel year: 1976', u'Parcel #: 13  5W68  4', u'Zillow Home ID: 70088123']	http://photos1.zillowstatic.com/p_e/ISlayf2g6l1ye31000000000.jpg	58000.0	[]	992.0	NC	79892.0	28611	70088123
2.0	4	Collettsville	[u'Lot: 71.72 acres', u'Single Family', u'Built in 1972', u'All time views: 2,923', u'Cooling: None', u'Heating: Baseboard', u'Last sold: Oct 2014 for $410,000', u'Last sale price/sqft: $125', u'548 sqft basement', u'Finished basement', u'Fireplace', u'Parking: 2 spaces, 483 sqft garage', u'Porch', u'View: Water', u'Waterfront', u'Sun room', u'Exterior material: Brick, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,287 sqft', u'Last remodel year: 1981', u'Parcel #: 04 4W115  3', u'Zillow Home ID: 70090043']	http://photos2.zillowstatic.com/p_e/IS-18ysyqbi9aov1.jpg	410000.0	[]	3287.0	NC	306013.0	28611	70090043
1.0	3	Collettsville	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1981', u'30 days on Zillow', u'Views since listing: 692', u'All time views: 1,144', u'5 shoppers saved this home', u'Heating: Baseboard', u'Last sold: Sep 2014 for $9,500', u'Last sale price/sqft: $13', u'MLS #: 9589413', u'Laundry on Main', u'Water: Septic Tank', u'County: Caldwell', u'Style: Ranch', u'Water: Well', u'Cooling: Window Unit', u'Water-Lake: Stream', u'Type: Stick Built', u'Exterior material: Brick, Cement concrete, Vinyl, Wood', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 735 sqft', u'Last remodel year: 1981', u'Parcel #: 04 9W125 96B', u'Zillow Home ID: 70103587']	http://photos1.zillowstatic.com/p_e/ISybjin9xulfaz0000000000.jpg	9500.0	[]	735.0	NC	75019.0	28611	70103587
2.0	2	Collettsville	[u'Lot: 3 acres', u'Single Family', u'Built in 1930', u'105 days on Zillow', u'Views since listing: 2,569', u'All time views: 4,166', u'18 shoppers saved this home', u'Last sold: Mar 2014 for $101,000', u'Last sale price/sqft: $100', u'Auction.com', u'Exterior material: Stucco, Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Bungalow', u'Floor size: 1,012 sqft', u'Parcel #: 13  5W11 42C', u'Zillow Home ID: 92554479']	http://photos1.zillowstatic.com/p_e/ISyj55y0zbl3bb1000000000.jpg	101000.0	[]	1012.0	NC	95526.0	28611	92554479
3.0	3	Collettsville	[u'Baths: 2 full, 1 half', u'Lot: 2.97 acres', u'Single Family', u'Built in 1997', u'All time views: 4,207', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $155,000', u'Last sale price/sqft: $98', u'Deck', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Pool', u'Unfinished basement', u'Water-Lake: None', u'Water: Septic Tank', u'Outbuilding', u'County: Caldwell', u'Water: Well', u'Scenic View', u'Outside Lighting', u'Window Treatment', u'Style: Bsmt', u'Heating: Woodstove', u'Type: Stick Built', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,580 sqft', u'Heating: Other', u'Last remodel year: 1997', u'Laundry: In Unit', u'Parcel #: 04 9W127 55A', u'Zillow Home ID: 70097891']	http://photos3.zillowstatic.com/p_e/IS9lilkuibdc6v0000000000.jpg	155000.0	[]	1580.0	NC	157615.0	28611	70097891
2.0	3	Collettsville	[u'Lot: 4.07 acres', u'Single Family', u'Built in 1977', u'All time views: 15,172', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Dec 2015 for $82,900', u'Last sale price/sqft: $52', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 391 sqft garage', u'Style: Ranch', u'Interior Walls: Sheetrock', u'Water: Septic', u'Electric: Duke Power', u'Road Surface: Paved', u'Main Bedroom-Main Level', u'Water: Well', u'Cable: Not Known (Cable)', u'Miscellaneous: Acreage', u'Lot Description: Private', u'Property Status: Active', u'Foundation: Crawl Space', u'Lot Description: Level', u'Road Maintenance: Private', u'None', u'Interior Walls: Paneling', u'Acreage Range: 2.5-4.5 acres', u'Range / Oven', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,581 sqft', u'Heating: Electric, Wood / pellet', u'Last remodel year: 1977', u'Parcel #: 04 9W127 55', u'Zillow Home ID: 70113186']	http://photos2.zillowstatic.com/p_e/IS5i5ea0i6ll541000000000.jpg	82900.0	[]	1581.0	NC	138854.0	28611	70113186
1.0	3	Collettsville	[u'Lot: 2.1 acres', u'Single Family', u'Built in 1972', u'All time views: 4,010', u'Heating: Forced air', u'Last sold: Oct 2015 for $52,000', u'Last sale price/sqft: $48', u'Fireplace', u'Parking: Garage - Attached', u'Partial basement', u'Porch', u'Dishwasher', u'Family room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,092 sqft', u'Heating: Propane butane', u'Last remodel year: 1981', u'Parcel #: 02  5W 7 16A', u'Zillow Home ID: 70077863']	http://photos2.zillowstatic.com/p_e/ISp1utsdpvcv981000000000.jpg	52000.0	[]	1092.0	NC	166290.0	28611	70077863
2.0	2	Collettsville	[u'Lot: 4.75 acres', u'Single Family', u'Built in 1957', u'All time views: 3,084', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Apr 2015 for $58,000', u'Last sale price/sqft: $58', u'Fireplace', u'Waterfront', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Other, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 992 sqft', u'Last remodel year: 1976', u'Parcel #: 13  5W68  4', u'Zillow Home ID: 70088123']	http://photos1.zillowstatic.com/p_e/ISlayf2g6l1ye31000000000.jpg	58000.0	[]	992.0	NC	79892.0	28611	70088123
2.0	4	Collettsville	[u'Lot: 71.72 acres', u'Single Family', u'Built in 1972', u'All time views: 2,924', u'Cooling: None', u'Heating: Baseboard', u'Last sold: Oct 2014 for $410,000', u'Last sale price/sqft: $125', u'548 sqft basement', u'Finished basement', u'Fireplace', u'Parking: 2 spaces, 483 sqft garage', u'Porch', u'View: Water', u'Waterfront', u'Sun room', u'Exterior material: Brick, Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,287 sqft', u'Last remodel year: 1981', u'Parcel #: 04 4W115  3', u'Zillow Home ID: 70090043']	http://photos2.zillowstatic.com/p_e/IS-18ysyqbi9aov1.jpg	410000.0	[]	3287.0	NC	306013.0	28611	70090043
1.0	3	Collettsville	[u'Lot: 0.46 acres', u'Single Family', u'Built in 1981', u'30 days on Zillow', u'Views since listing: 691', u'All time views: 1,143', u'5 shoppers saved this home', u'Heating: Baseboard', u'Last sold: Sep 2014 for $9,500', u'Last sale price/sqft: $13', u'MLS #: 9589413', u'Laundry on Main', u'Water: Septic Tank', u'County: Caldwell', u'Style: Ranch', u'Water: Well', u'Cooling: Window Unit', u'Water-Lake: Stream', u'Type: Stick Built', u'Exterior material: Brick, Cement concrete, Vinyl, Wood', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 735 sqft', u'Last remodel year: 1981', u'Parcel #: 04 9W125 96B', u'Zillow Home ID: 70103587']	http://photos1.zillowstatic.com/p_e/ISybjin9xulfaz0000000000.jpg	9500.0	[]	735.0	NC	75019.0	28611	70103587
