baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	2	Harrellsville	[u'Lot: 2 acres', u'Single Family', u'Built in 1969', u'All time views: 917', u'Last sold: Aug 2014 for $220,000', u'Last sale price/sqft: $222', u'Floor size: 992 sqft', u'Zillow Home ID: 2132113084']	http://photos1.zillowstatic.com/p_e/IS4usqxqyr3c0z.jpg	220000.0	[]	992.0	NC	102149.0	27942	2132113084
1.0	2	Harrellsville	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1943', u'All time views: 2,173', u'Cooling: Central', u'Last sold: May 2016 for $80,000', u'Last sale price/sqft: $76', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Detached', u'Northeastern North Carolina', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Floor size: 1,054 sqft', u'Heating: Gas', u'Parcel #: 6972-08-5504', u'Zillow Home ID: 113756961']	http://photos2.zillowstatic.com/p_e/ISt43qr0ngzsuf1000000000.jpg	80000.0	[]	1054.0	NC	85873.0	27942	113756961
2.5	3	Harrellsville	[u'Single Family', u'Built in 2002', u'All time views: 1,094', u'Heating: Heat pump', u'Last sold: Dec 2015 for $215,000', u'Last sale price/sqft: $90', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1.5', u'Floor size: 2,383 sqft', u'Parcel #: 6943-99-5747', u'Zillow Home ID: 113756479']	http://photos2.zillowstatic.com/p_e/ISt0kkntxhcyj80000000000.jpg	215000.0	[]	2383.0	NC	210339.0	27942	113756479
2.0	2	Harrellsville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1994', u'All time views: 4,053', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2015 for $127,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Linoleum / Vinyl', u'Parking: Carport', u'Heating System: Propane Gas', u'Air Conditioning: Central Electric', u'Water: County Water', u'Type & Style: Traditional', u'Rooms: Dining Room', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Floors: Vinyl', u'Location Description: Under 1 acre', u'Water Desc: None', u'Property Type: Residential', u'Double Pane Windows', u'Ceiling Fan(s)', u'Washer Hook-up', u'Dryer Hook-up', u'Fireplace', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Roof: Shingle-Composition', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Carport None', u'Garage: Garage-None', u'Heating System: Gas Forced Air', u'Attic: Access Only', u'Appliances: None', u'Floors: Wall to Wall', u'County: Hertford', u'Type & Style: 1.5 Stories', u'Ownership Rights: Government Owned', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,374 sqft', u'Heating: Gas', u'Parcel #: 6964-82-1740', u'Zillow Home ID: 113756756']	http://photos3.zillowstatic.com/p_e/ISxjt70b2xh2ec0000000000.jpg	127000.0	[]	1374.0	NC	116342.0	27942	113756756
3.0	3	Harrellsville	[u'Lot: 3,920 sqft', u'Single Family', u'Built in 1978', u'All time views: 2,229', u'Heating: Other', u'Last sold: Oct 2014 for $23,000', u'Last sale price/sqft: $15', u'Flooring: Carpet, Hardwood', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,536 sqft', u'Parcel #: 6953-16-3795', u'Zillow Home ID: 113756615']	http://photos2.zillowstatic.com/p_e/ISdw1viobc0pwb0000000000.jpg	23000.0	[]	1536.0	NC	114073.0	27942	113756615
1.0	2	Harrellsville	[u'Lot: 2 acres', u'Single Family', u'Built in 1969', u'All time views: 914', u'Last sold: Aug 2014 for $220,000', u'Last sale price/sqft: $222', u'Floor size: 992 sqft', u'Zillow Home ID: 2132113084']	http://photos1.zillowstatic.com/p_e/IS4usqxqyr3c0z.jpg	220000.0	[]	992.0	NC	102149.0	27942	2132113084
1.0	2	Harrellsville	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1943', u'All time views: 2,169', u'Cooling: Central', u'Last sold: May 2016 for $80,000', u'Last sale price/sqft: $76', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Detached', u'Northeastern North Carolina', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Floor size: 1,054 sqft', u'Heating: Gas', u'Parcel #: 6972-08-5504', u'Zillow Home ID: 113756961']	http://photos2.zillowstatic.com/p_e/ISt43qr0ngzsuf1000000000.jpg	80000.0	[]	1054.0	NC	85873.0	27942	113756961
2.5	3	Harrellsville	[u'Single Family', u'Built in 2002', u'All time views: 1,090', u'Heating: Heat pump', u'Last sold: Dec 2015 for $215,000', u'Last sale price/sqft: $90', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1.5', u'Floor size: 2,383 sqft', u'Parcel #: 6943-99-5747', u'Zillow Home ID: 113756479']	http://photos2.zillowstatic.com/p_e/ISt0kkntxhcyj80000000000.jpg	215000.0	[]	2383.0	NC	210339.0	27942	113756479
2.0	2	Harrellsville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1994', u'All time views: 4,048', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2015 for $127,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Linoleum / Vinyl', u'Parking: Carport', u'Heating System: Propane Gas', u'Air Conditioning: Central Electric', u'Water: County Water', u'Type & Style: Traditional', u'Rooms: Dining Room', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Floors: Vinyl', u'Location Description: Under 1 acre', u'Water Desc: None', u'Property Type: Residential', u'Double Pane Windows', u'Ceiling Fan(s)', u'Washer Hook-up', u'Dryer Hook-up', u'Fireplace', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Roof: Shingle-Composition', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Carport None', u'Garage: Garage-None', u'Heating System: Gas Forced Air', u'Attic: Access Only', u'Appliances: None', u'Floors: Wall to Wall', u'County: Hertford', u'Type & Style: 1.5 Stories', u'Ownership Rights: Government Owned', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,374 sqft', u'Heating: Gas', u'Parcel #: 6964-82-1740', u'Zillow Home ID: 113756756']	http://photos3.zillowstatic.com/p_e/ISxjt70b2xh2ec0000000000.jpg	127000.0	[]	1374.0	NC	116342.0	27942	113756756
3.0	3	Harrellsville	[u'Lot: 3,920 sqft', u'Single Family', u'Built in 1978', u'All time views: 2,226', u'Heating: Other', u'Last sold: Oct 2014 for $23,000', u'Last sale price/sqft: $15', u'Flooring: Carpet, Hardwood', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,536 sqft', u'Parcel #: 6953-16-3795', u'Zillow Home ID: 113756615']	http://photos2.zillowstatic.com/p_e/ISdw1viobc0pwb0000000000.jpg	23000.0	[]	1536.0	NC	114073.0	27942	113756615
1.0	2	Harrellsville	[u'Lot: 2 acres', u'Single Family', u'Built in 1969', u'All time views: 916', u'Last sold: Aug 2014 for $220,000', u'Last sale price/sqft: $222', u'Floor size: 992 sqft', u'Zillow Home ID: 2132113084']	http://photos1.zillowstatic.com/p_e/IS4usqxqyr3c0z.jpg	220000.0	[]	992.0	NC	102149.0	27942	2132113084
1.0	2	Harrellsville	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1943', u'All time views: 2,168', u'Cooling: Central', u'Last sold: May 2016 for $80,000', u'Last sale price/sqft: $76', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Detached', u'Northeastern North Carolina', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Floor size: 1,054 sqft', u'Heating: Gas', u'Parcel #: 6972-08-5504', u'Zillow Home ID: 113756961']	http://photos2.zillowstatic.com/p_e/ISt43qr0ngzsuf1000000000.jpg	80000.0	[]	1054.0	NC	85873.0	27942	113756961
2.5	3	Harrellsville	[u'Single Family', u'Built in 2002', u'All time views: 1,092', u'Heating: Heat pump', u'Last sold: Dec 2015 for $215,000', u'Last sale price/sqft: $90', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1.5', u'Floor size: 2,383 sqft', u'Parcel #: 6943-99-5747', u'Zillow Home ID: 113756479']	http://photos2.zillowstatic.com/p_e/ISt0kkntxhcyj80000000000.jpg	215000.0	[]	2383.0	NC	210339.0	27942	113756479
2.0	2	Harrellsville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1994', u'All time views: 4,051', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2015 for $127,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Linoleum / Vinyl', u'Parking: Carport', u'Heating System: Propane Gas', u'Air Conditioning: Central Electric', u'Water: County Water', u'Type & Style: Traditional', u'Rooms: Dining Room', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Floors: Vinyl', u'Location Description: Under 1 acre', u'Water Desc: None', u'Property Type: Residential', u'Double Pane Windows', u'Ceiling Fan(s)', u'Washer Hook-up', u'Dryer Hook-up', u'Fireplace', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Roof: Shingle-Composition', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Carport None', u'Garage: Garage-None', u'Heating System: Gas Forced Air', u'Attic: Access Only', u'Appliances: None', u'Floors: Wall to Wall', u'County: Hertford', u'Type & Style: 1.5 Stories', u'Ownership Rights: Government Owned', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,374 sqft', u'Heating: Gas', u'Parcel #: 6964-82-1740', u'Zillow Home ID: 113756756']	http://photos3.zillowstatic.com/p_e/ISxjt70b2xh2ec0000000000.jpg	127000.0	[]	1374.0	NC	116342.0	27942	113756756
3.0	3	Harrellsville	[u'Lot: 3,920 sqft', u'Single Family', u'Built in 1978', u'All time views: 2,228', u'Heating: Other', u'Last sold: Oct 2014 for $23,000', u'Last sale price/sqft: $15', u'Flooring: Carpet, Hardwood', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,536 sqft', u'Parcel #: 6953-16-3795', u'Zillow Home ID: 113756615']	http://photos2.zillowstatic.com/p_e/ISdw1viobc0pwb0000000000.jpg	23000.0	[]	1536.0	NC	114073.0	27942	113756615
1.0	2	Harrellsville	[u'Lot: 2 acres', u'Single Family', u'Built in 1969', u'All time views: 918', u'Last sold: Aug 2014 for $220,000', u'Last sale price/sqft: $222', u'Floor size: 992 sqft', u'Zillow Home ID: 2132113084']	http://photos1.zillowstatic.com/p_e/IS4usqxqyr3c0z.jpg	220000.0	[]	992.0	NC	102149.0	27942	2132113084
1.0	2	Harrellsville	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1943', u'All time views: 2,174', u'Cooling: Central', u'Last sold: May 2016 for $80,000', u'Last sale price/sqft: $76', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Detached', u'Northeastern North Carolina', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Floor size: 1,054 sqft', u'Heating: Gas', u'Parcel #: 6972-08-5504', u'Zillow Home ID: 113756961']	http://photos2.zillowstatic.com/p_e/ISt43qr0ngzsuf1000000000.jpg	80000.0	[]	1054.0	NC	85873.0	27942	113756961
2.5	3	Harrellsville	[u'Single Family', u'Built in 2002', u'All time views: 1,093', u'Heating: Heat pump', u'Last sold: Dec 2015 for $215,000', u'Last sale price/sqft: $90', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1.5', u'Floor size: 2,383 sqft', u'Parcel #: 6943-99-5747', u'Zillow Home ID: 113756479']	http://photos2.zillowstatic.com/p_e/ISt0kkntxhcyj80000000000.jpg	215000.0	[]	2383.0	NC	210339.0	27942	113756479
2.0	2	Harrellsville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1994', u'All time views: 4,052', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2015 for $127,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Linoleum / Vinyl', u'Parking: Carport', u'Heating System: Propane Gas', u'Air Conditioning: Central Electric', u'Water: County Water', u'Type & Style: Traditional', u'Rooms: Dining Room', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Floors: Vinyl', u'Location Description: Under 1 acre', u'Water Desc: None', u'Property Type: Residential', u'Double Pane Windows', u'Ceiling Fan(s)', u'Washer Hook-up', u'Dryer Hook-up', u'Fireplace', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Roof: Shingle-Composition', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Carport None', u'Garage: Garage-None', u'Heating System: Gas Forced Air', u'Attic: Access Only', u'Appliances: None', u'Floors: Wall to Wall', u'County: Hertford', u'Type & Style: 1.5 Stories', u'Ownership Rights: Government Owned', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,374 sqft', u'Heating: Gas', u'Parcel #: 6964-82-1740', u'Zillow Home ID: 113756756']	http://photos3.zillowstatic.com/p_e/ISxjt70b2xh2ec0000000000.jpg	127000.0	[]	1374.0	NC	116342.0	27942	113756756
3.0	3	Harrellsville	[u'Lot: 3,920 sqft', u'Single Family', u'Built in 1978', u'All time views: 2,230', u'Heating: Other', u'Last sold: Oct 2014 for $23,000', u'Last sale price/sqft: $15', u'Flooring: Carpet, Hardwood', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,536 sqft', u'Parcel #: 6953-16-3795', u'Zillow Home ID: 113756615']	http://photos2.zillowstatic.com/p_e/ISdw1viobc0pwb0000000000.jpg	23000.0	[]	1536.0	NC	114073.0	27942	113756615
1.0	2	Harrellsville	[u'Lot: 2 acres', u'Single Family', u'Built in 1969', u'All time views: 915', u'Last sold: Aug 2014 for $220,000', u'Last sale price/sqft: $222', u'Floor size: 992 sqft', u'Zillow Home ID: 2132113084']	http://photos1.zillowstatic.com/p_e/IS4usqxqyr3c0z.jpg	220000.0	[]	992.0	NC	102149.0	27942	2132113084
1.0	2	Harrellsville	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1943', u'All time views: 2,171', u'Cooling: Central', u'Last sold: May 2016 for $80,000', u'Last sale price/sqft: $76', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Detached', u'Northeastern North Carolina', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Roof type: Composition', u'Floor size: 1,054 sqft', u'Heating: Gas', u'Parcel #: 6972-08-5504', u'Zillow Home ID: 113756961']	http://photos2.zillowstatic.com/p_e/ISt43qr0ngzsuf1000000000.jpg	80000.0	[]	1054.0	NC	85873.0	27942	113756961
2.5	3	Harrellsville	[u'Single Family', u'Built in 2002', u'All time views: 1,091', u'Heating: Heat pump', u'Last sold: Dec 2015 for $215,000', u'Last sale price/sqft: $90', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1.5', u'Floor size: 2,383 sqft', u'Parcel #: 6943-99-5747', u'Zillow Home ID: 113756479']	http://photos2.zillowstatic.com/p_e/ISt0kkntxhcyj80000000000.jpg	215000.0	[]	2383.0	NC	210339.0	27942	113756479
2.0	2	Harrellsville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1994', u'All time views: 4,055', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2015 for $127,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Linoleum / Vinyl', u'Parking: Carport', u'Heating System: Propane Gas', u'Air Conditioning: Central Electric', u'Water: County Water', u'Type & Style: Traditional', u'Rooms: Dining Room', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Floors: Vinyl', u'Location Description: Under 1 acre', u'Water Desc: None', u'Property Type: Residential', u'Double Pane Windows', u'Ceiling Fan(s)', u'Washer Hook-up', u'Dryer Hook-up', u'Fireplace', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Roof: Shingle-Composition', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Carport None', u'Garage: Garage-None', u'Heating System: Gas Forced Air', u'Attic: Access Only', u'Appliances: None', u'Floors: Wall to Wall', u'County: Hertford', u'Type & Style: 1.5 Stories', u'Ownership Rights: Government Owned', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,374 sqft', u'Heating: Gas', u'Parcel #: 6964-82-1740', u'Zillow Home ID: 113756756']	http://photos3.zillowstatic.com/p_e/ISxjt70b2xh2ec0000000000.jpg	127000.0	[]	1374.0	NC	116342.0	27942	113756756
3.0	3	Harrellsville	[u'Lot: 3,920 sqft', u'Single Family', u'Built in 1978', u'All time views: 2,227', u'Heating: Other', u'Last sold: Oct 2014 for $23,000', u'Last sale price/sqft: $15', u'Flooring: Carpet, Hardwood', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,536 sqft', u'Parcel #: 6953-16-3795', u'Zillow Home ID: 113756615']	http://photos2.zillowstatic.com/p_e/ISdw1viobc0pwb0000000000.jpg	23000.0	[]	1536.0	NC	114073.0	27942	113756615
1.0	2	Harrellsville	[u'Lot: 2 acres', u'Single Family', u'Built in 1969', u'All time views: 913', u'Last sold: Aug 2014 for $220,000', u'Last sale price/sqft: $222', u'Floor size: 992 sqft', u'Zillow Home ID: 2132113084']	http://photos1.zillowstatic.com/p_e/IS4usqxqyr3c0z.jpg	220000.0	[]	992.0	NC	102149.0	27942	2132113084
