baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Fleetwood	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1986', u'All time views: 2,764', u'Cooling: Other', u'Heating: Baseboard, Other', u'Last sold: Dec 2015 for $166,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 15239-144-003', u'Zillow Home ID: 114787838']	http://photos2.zillowstatic.com/p_e/ISp51egwr1qcgo1000000000.jpg	166000.0	[]	1248.0	NC	168668.0	28626	114787838
2.0	2	Fleetwood	[u'Lot: 1.21 acres', u'Single Family', u'Built in 2006', u'All time views: 3,459', u'Last sold: May 2016 for $207,000', u'Last sale price/sqft: $160', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Amenities: Wooded', u'Basement: Crawl Space', u'Zoning: Residential', u'Heat: C', u'Style: Log', u'Exterior: Log Siding', u'Windows: Wood', u'Elevation Range: 3001-3500 ft', u'Views: Seasonal View', u'Floor size: 1,294 sqft', u'Zillow Home ID: 2137775909']	http://photos2.zillowstatic.com/p_e/IStoinvknmcal80000000000.jpg	207000.0	[]	1294.0	NC	208328.0	28626	2137775909
2.0	3	Fleetwood	[u'Lot: 2.5 acres', u'Single Family', u'Built in 1991', u'All time views: 817', u'Heating: Heat pump', u'Last sold: Apr 2016 for $355,000', u'Last sale price/sqft: $171', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Porch', u'View: Mountain', u'Hot Water: Electric', u'Attic: Yes', u'Heat: Air Conditioning', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Basement: Crawl Space', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Road: Private Gravel', u'Exterior: Cedar', u'Style: Traditional', u'Style: Cottage', u'Amenities: Outbuilding', u'Hot Water: Other-See Remarks', u'Water: Well', u'Garage: Oversized', u'Heat: Fireplace-Wood Stove Insert', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Pond', u'Creek', u'Refrigerator', u'Roof type: Asphalt', u'Floor size: 2,071 sqft', u'Parcel #: 15202-056', u'Zillow Home ID: 114787530']	http://photos2.zillowstatic.com/p_e/IShvfkwcq4p7p80000000000.jpg	355000.0	[]	2071.0	NC	238780.0	28626	114787530
2.0	2	Fleetwood	[u'Lot: 1 acre', u'Single Family', u'Built in 1950', u'All time views: 2,781', u'Last sold: Apr 2016 for $72,000', u'Last sale price/sqft: $42', u'Floor size: 1,696 sqft', u'Parcel #: 13196-026', u'Zillow Home ID: 114785560']	http://photos2.zillowstatic.com/p_e/ISptvp8uxv6aly0000000000.jpg	72000.0	[]	1696.0	NC	165144.0	28626	114785560
3.5	4	Fleetwood	[u'Single Family', u'Built in 2002', u'All time views: 1,141', u'Last sold: Mar 2016 for $410,000', u'Last sale price/sqft: $101', u'Floor size: 4,066 sqft', u'Zillow Home ID: 2112032389']	http://photos2.zillowstatic.com/p_e/IS1nu9u3f7m13t0000000000.jpg	410000.0	[]	4066.0	NC	440564.0	28626	2112032389
4.0	3	Fleetwood	[u'Lot: 6.1 acres', u'Single Family', u'Built in 1988', u'All time views: 2,232', u'Heating: Baseboard, Heat pump, Other', u'Last sold: Mar 2016 for $415,000', u'Last sale price/sqft: $105', u'Parking: Garage - Detached', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 3,935 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Parcel #: 13194-322', u'Zillow Home ID: 114785393']	http://photos2.zillowstatic.com/p_e/ISdsmkpdwnsqce1000000000.jpg	415000.0	[]	3935.0	NC	0.0	28626	114785393
2.0	2	Fleetwood	[u'Lot: 1.58 acres', u'Single Family', u'Built in 1976', u'All time views: 1,464', u'Last sold: Feb 2016 for $97,000', u'Last sale price/sqft: $93', u'Floor size: 1,047 sqft', u'Parcel #: 15198-006-007', u'Zillow Home ID: 114787418']	http://photos3.zillowstatic.com/p_e/ISlmjcn258z7r60000000000.jpg	97000.0	[]	1047.0	NC	149076.0	28626	114787418
2.0	2	Fleetwood	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1987', u'All time views: 3,018', u'Heating: Baseboard, Radiant', u'Last sold: Feb 2016 for $187,500', u'Last sale price/sqft: $120', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Parking: Garage - Attached, 1 space', u'Patio', u'Porch', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,564 sqft', u'Heating: Electric, Gas, Propane butane', u'Laundry: In Unit', u'Parcel #: 13194-021-012', u'Zillow Home ID: 114785301']	http://photos1.zillowstatic.com/p_e/ISdorluszastd60000000000.jpg	187500.0	[]	1564.0	NC	171181.0	28626	114785301
2.0	3	Fleetwood	[u'Lot: 0.72 acres', u'Single Family', u'All time views: 2,477', u'Last sold: Jan 2016 for $156,000', u'Last sale price/sqft: $79', u'Floor size: 1,969 sqft', u'Zillow Home ID: 2101720066']	http://photos3.zillowstatic.com/p_e/ISl6n4rp3qrr4f0000000000.jpg	156000.0	[]	1969.0	NC	163961.0	28626	2101720066
2.0	3	Fleetwood	[u'Lot: 1.01 acres', u'Single Family', u'All time views: 1,235', u'Last sold: Dec 2015 for $160,000', u'Last sale price/sqft: $137', u'Floor size: 1,167 sqft', u'Zillow Home ID: 2138195803']	http://photos3.zillowstatic.com/p_e/ISxf2s2gogl9fg1000000000.jpg	160000.0	[]	1167.0	NC	155459.0	28626	2138195803
3.5	3	Fleetwood	[u'Lot: 16.7 acres', u'Single Family', u'Built in 1994', u'All time views: 1,528', u'Last sold: Dec 2015 for $420,000', u'Last sale price/sqft: $153', u'Floor size: 2,750 sqft', u'Parcel #: 13196-004-025', u'Zillow Home ID: 115917037']	http://photos2.zillowstatic.com/p_e/IS5i91j5bphkdq0000000000.jpg	420000.0	[]	2750.0	NC	379437.0	28626	115917037
2.0	3	Fleetwood	[u'Lot: 1.6 acres', u'Single Family', u'Built in 2006', u'All time views: 3,539', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $240,000', u'Last sale price/sqft: $188', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'View: Mountain', u'Dryer', u'Breakfast nook', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Floor size: 1,275 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2142400491']	http://photos1.zillowstatic.com/p_e/IS1rxyivbp6qxi0000000000.jpg	240000.0	[]	1275.0	NC	235711.0	28626	2142400491
2.0	3	Fleetwood	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1986', u'All time views: 2,766', u'Cooling: Other', u'Heating: Baseboard, Other', u'Last sold: Dec 2015 for $166,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 15239-144-003', u'Zillow Home ID: 114787838']	http://photos2.zillowstatic.com/p_e/ISp51egwr1qcgo1000000000.jpg	166000.0	[]	1248.0	NC	168668.0	28626	114787838
2.0	2	Fleetwood	[u'Lot: 1.21 acres', u'Single Family', u'Built in 2006', u'All time views: 3,460', u'Last sold: May 2016 for $207,000', u'Last sale price/sqft: $160', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Amenities: Wooded', u'Basement: Crawl Space', u'Zoning: Residential', u'Heat: C', u'Style: Log', u'Exterior: Log Siding', u'Windows: Wood', u'Elevation Range: 3001-3500 ft', u'Views: Seasonal View', u'Floor size: 1,294 sqft', u'Zillow Home ID: 2137775909']	http://photos2.zillowstatic.com/p_e/IStoinvknmcal80000000000.jpg	207000.0	[]	1294.0	NC	208328.0	28626	2137775909
2.0	3	Fleetwood	[u'Lot: 2.5 acres', u'Single Family', u'Built in 1991', u'All time views: 819', u'Heating: Heat pump', u'Last sold: Apr 2016 for $355,000', u'Last sale price/sqft: $171', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Porch', u'View: Mountain', u'Hot Water: Electric', u'Attic: Yes', u'Heat: Air Conditioning', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Basement: Crawl Space', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Road: Private Gravel', u'Exterior: Cedar', u'Style: Traditional', u'Style: Cottage', u'Amenities: Outbuilding', u'Hot Water: Other-See Remarks', u'Water: Well', u'Garage: Oversized', u'Heat: Fireplace-Wood Stove Insert', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Pond', u'Creek', u'Refrigerator', u'Roof type: Asphalt', u'Floor size: 2,071 sqft', u'Parcel #: 15202-056', u'Zillow Home ID: 114787530']	http://photos2.zillowstatic.com/p_e/IShvfkwcq4p7p80000000000.jpg	355000.0	[]	2071.0	NC	238780.0	28626	114787530
2.0	2	Fleetwood	[u'Lot: 1 acre', u'Single Family', u'Built in 1950', u'All time views: 2,782', u'Last sold: Apr 2016 for $72,000', u'Last sale price/sqft: $42', u'Floor size: 1,696 sqft', u'Parcel #: 13196-026', u'Zillow Home ID: 114785560']	http://photos2.zillowstatic.com/p_e/ISptvp8uxv6aly0000000000.jpg	72000.0	[]	1696.0	NC	165144.0	28626	114785560
3.5	4	Fleetwood	[u'Single Family', u'Built in 2002', u'All time views: 1,142', u'Last sold: Mar 2016 for $410,000', u'Last sale price/sqft: $101', u'Floor size: 4,066 sqft', u'Zillow Home ID: 2112032389']	http://photos2.zillowstatic.com/p_e/IS1nu9u3f7m13t0000000000.jpg	410000.0	[]	4066.0	NC	440564.0	28626	2112032389
4.0	3	Fleetwood	[u'Lot: 6.1 acres', u'Single Family', u'Built in 1988', u'All time views: 2,233', u'Heating: Baseboard, Heat pump, Other', u'Last sold: Mar 2016 for $415,000', u'Last sale price/sqft: $105', u'Parking: Garage - Detached', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 3,935 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Parcel #: 13194-322', u'Zillow Home ID: 114785393']	http://photos2.zillowstatic.com/p_e/ISdsmkpdwnsqce1000000000.jpg	415000.0	[]	3935.0	NC	0.0	28626	114785393
2.0	2	Fleetwood	[u'Lot: 1.58 acres', u'Single Family', u'Built in 1976', u'All time views: 1,465', u'Last sold: Feb 2016 for $97,000', u'Last sale price/sqft: $93', u'Floor size: 1,047 sqft', u'Parcel #: 15198-006-007', u'Zillow Home ID: 114787418']	http://photos3.zillowstatic.com/p_e/ISlmjcn258z7r60000000000.jpg	97000.0	[]	1047.0	NC	149076.0	28626	114787418
2.0	2	Fleetwood	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1987', u'All time views: 3,019', u'Heating: Baseboard, Radiant', u'Last sold: Feb 2016 for $187,500', u'Last sale price/sqft: $120', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Parking: Garage - Attached, 1 space', u'Patio', u'Porch', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,564 sqft', u'Heating: Electric, Gas, Propane butane', u'Laundry: In Unit', u'Parcel #: 13194-021-012', u'Zillow Home ID: 114785301']	http://photos1.zillowstatic.com/p_e/ISdorluszastd60000000000.jpg	187500.0	[]	1564.0	NC	171181.0	28626	114785301
2.0	3	Fleetwood	[u'Lot: 0.72 acres', u'Single Family', u'All time views: 2,478', u'Last sold: Jan 2016 for $156,000', u'Last sale price/sqft: $79', u'Floor size: 1,969 sqft', u'Zillow Home ID: 2101720066']	http://photos3.zillowstatic.com/p_e/ISl6n4rp3qrr4f0000000000.jpg	156000.0	[]	1969.0	NC	163961.0	28626	2101720066
2.0	3	Fleetwood	[u'Lot: 1.01 acres', u'Single Family', u'All time views: 1,236', u'Last sold: Dec 2015 for $160,000', u'Last sale price/sqft: $137', u'Floor size: 1,167 sqft', u'Zillow Home ID: 2138195803']	http://photos3.zillowstatic.com/p_e/ISxf2s2gogl9fg1000000000.jpg	160000.0	[]	1167.0	NC	155459.0	28626	2138195803
3.5	3	Fleetwood	[u'Lot: 16.7 acres', u'Single Family', u'Built in 1994', u'All time views: 1,529', u'Last sold: Dec 2015 for $420,000', u'Last sale price/sqft: $153', u'Floor size: 2,750 sqft', u'Parcel #: 13196-004-025', u'Zillow Home ID: 115917037']	http://photos2.zillowstatic.com/p_e/IS5i91j5bphkdq0000000000.jpg	420000.0	[]	2750.0	NC	379437.0	28626	115917037
2.0	3	Fleetwood	[u'Lot: 1.6 acres', u'Single Family', u'Built in 2006', u'All time views: 3,540', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $240,000', u'Last sale price/sqft: $188', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'View: Mountain', u'Dryer', u'Breakfast nook', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Floor size: 1,275 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2142400491']	http://photos1.zillowstatic.com/p_e/IS1rxyivbp6qxi0000000000.jpg	240000.0	[]	1275.0	NC	235711.0	28626	2142400491
2.0	3	Fleetwood	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1986', u'All time views: 2,767', u'Cooling: Other', u'Heating: Baseboard, Other', u'Last sold: Dec 2015 for $166,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 15239-144-003', u'Zillow Home ID: 114787838']	http://photos2.zillowstatic.com/p_e/ISp51egwr1qcgo1000000000.jpg	166000.0	[]	1248.0	NC	168668.0	28626	114787838
2.0	2	Fleetwood	[u'Lot: 1.21 acres', u'Single Family', u'Built in 2006', u'All time views: 3,461', u'Last sold: May 2016 for $207,000', u'Last sale price/sqft: $160', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Amenities: Wooded', u'Basement: Crawl Space', u'Zoning: Residential', u'Heat: C', u'Style: Log', u'Exterior: Log Siding', u'Windows: Wood', u'Elevation Range: 3001-3500 ft', u'Views: Seasonal View', u'Floor size: 1,294 sqft', u'Zillow Home ID: 2137775909']	http://photos2.zillowstatic.com/p_e/IStoinvknmcal80000000000.jpg	207000.0	[]	1294.0	NC	208328.0	28626	2137775909
2.0	3	Fleetwood	[u'Lot: 2.5 acres', u'Single Family', u'Built in 1991', u'All time views: 820', u'Heating: Heat pump', u'Last sold: Apr 2016 for $355,000', u'Last sale price/sqft: $171', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Porch', u'View: Mountain', u'Hot Water: Electric', u'Attic: Yes', u'Heat: Air Conditioning', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Basement: Crawl Space', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Road: Private Gravel', u'Exterior: Cedar', u'Style: Traditional', u'Style: Cottage', u'Amenities: Outbuilding', u'Hot Water: Other-See Remarks', u'Water: Well', u'Garage: Oversized', u'Heat: Fireplace-Wood Stove Insert', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Pond', u'Creek', u'Refrigerator', u'Roof type: Asphalt', u'Floor size: 2,071 sqft', u'Parcel #: 15202-056', u'Zillow Home ID: 114787530']	http://photos2.zillowstatic.com/p_e/IShvfkwcq4p7p80000000000.jpg	355000.0	[]	2071.0	NC	238780.0	28626	114787530
2.0	2	Fleetwood	[u'Lot: 1 acre', u'Single Family', u'Built in 1950', u'All time views: 2,783', u'Last sold: Apr 2016 for $72,000', u'Last sale price/sqft: $42', u'Floor size: 1,696 sqft', u'Parcel #: 13196-026', u'Zillow Home ID: 114785560']	http://photos2.zillowstatic.com/p_e/ISptvp8uxv6aly0000000000.jpg	72000.0	[]	1696.0	NC	165144.0	28626	114785560
3.5	4	Fleetwood	[u'Single Family', u'Built in 2002', u'All time views: 1,143', u'Last sold: Mar 2016 for $410,000', u'Last sale price/sqft: $101', u'Floor size: 4,066 sqft', u'Zillow Home ID: 2112032389']	http://photos2.zillowstatic.com/p_e/IS1nu9u3f7m13t0000000000.jpg	410000.0	[]	4066.0	NC	440564.0	28626	2112032389
4.0	3	Fleetwood	[u'Lot: 6.1 acres', u'Single Family', u'Built in 1988', u'All time views: 2,234', u'Heating: Baseboard, Heat pump, Other', u'Last sold: Mar 2016 for $415,000', u'Last sale price/sqft: $105', u'Parking: Garage - Detached', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 3,935 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Parcel #: 13194-322', u'Zillow Home ID: 114785393']	http://photos2.zillowstatic.com/p_e/ISdsmkpdwnsqce1000000000.jpg	415000.0	[]	3935.0	NC	0.0	28626	114785393
2.0	2	Fleetwood	[u'Lot: 1.58 acres', u'Single Family', u'Built in 1976', u'All time views: 1,466', u'Last sold: Feb 2016 for $97,000', u'Last sale price/sqft: $93', u'Floor size: 1,047 sqft', u'Parcel #: 15198-006-007', u'Zillow Home ID: 114787418']	http://photos3.zillowstatic.com/p_e/ISlmjcn258z7r60000000000.jpg	97000.0	[]	1047.0	NC	149076.0	28626	114787418
2.0	2	Fleetwood	[u'Lot: 1.54 acres', u'Single Family', u'Built in 1987', u'All time views: 3,020', u'Heating: Baseboard, Radiant', u'Last sold: Feb 2016 for $187,500', u'Last sale price/sqft: $120', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Hot Tub/Spa', u'Parking: Garage - Attached, 1 space', u'Patio', u'Porch', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 1,564 sqft', u'Heating: Electric, Gas, Propane butane', u'Laundry: In Unit', u'Parcel #: 13194-021-012', u'Zillow Home ID: 114785301']	http://photos1.zillowstatic.com/p_e/ISdorluszastd60000000000.jpg	187500.0	[]	1564.0	NC	171181.0	28626	114785301
2.0	3	Fleetwood	[u'Lot: 0.72 acres', u'Single Family', u'All time views: 2,479', u'Last sold: Jan 2016 for $156,000', u'Last sale price/sqft: $79', u'Floor size: 1,969 sqft', u'Zillow Home ID: 2101720066']	http://photos3.zillowstatic.com/p_e/ISl6n4rp3qrr4f0000000000.jpg	156000.0	[]	1969.0	NC	163961.0	28626	2101720066
2.0	3	Fleetwood	[u'Lot: 1.01 acres', u'Single Family', u'All time views: 1,237', u'Last sold: Dec 2015 for $160,000', u'Last sale price/sqft: $137', u'Floor size: 1,167 sqft', u'Zillow Home ID: 2138195803']	http://photos3.zillowstatic.com/p_e/ISxf2s2gogl9fg1000000000.jpg	160000.0	[]	1167.0	NC	155459.0	28626	2138195803
3.5	3	Fleetwood	[u'Lot: 16.7 acres', u'Single Family', u'Built in 1994', u'All time views: 1,530', u'Last sold: Dec 2015 for $420,000', u'Last sale price/sqft: $153', u'Floor size: 2,750 sqft', u'Parcel #: 13196-004-025', u'Zillow Home ID: 115917037']	http://photos2.zillowstatic.com/p_e/IS5i91j5bphkdq0000000000.jpg	420000.0	[]	2750.0	NC	379437.0	28626	115917037
2.0	3	Fleetwood	[u'Lot: 1.6 acres', u'Single Family', u'Built in 2006', u'All time views: 3,541', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $240,000', u'Last sale price/sqft: $188', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Vaulted Ceiling', u'View: Mountain', u'Dryer', u'Breakfast nook', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Floor size: 1,275 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2142400491']	http://photos1.zillowstatic.com/p_e/IS1rxyivbp6qxi0000000000.jpg	240000.0	[]	1275.0	NC	235711.0	28626	2142400491
2.0	3	Fleetwood	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1986', u'All time views: 2,768', u'Cooling: Other', u'Heating: Baseboard, Other', u'Last sold: Dec 2015 for $166,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,248 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 15239-144-003', u'Zillow Home ID: 114787838']	http://photos2.zillowstatic.com/p_e/ISp51egwr1qcgo1000000000.jpg	166000.0	[]	1248.0	NC	168668.0	28626	114787838
2.0	2	Fleetwood	[u'Lot: 1.21 acres', u'Single Family', u'Built in 2006', u'All time views: 3,462', u'Last sold: May 2016 for $207,000', u'Last sale price/sqft: $160', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Amenities: Wooded', u'Basement: Crawl Space', u'Zoning: Residential', u'Heat: C', u'Style: Log', u'Exterior: Log Siding', u'Windows: Wood', u'Elevation Range: 3001-3500 ft', u'Views: Seasonal View', u'Floor size: 1,294 sqft', u'Zillow Home ID: 2137775909']	http://photos2.zillowstatic.com/p_e/IStoinvknmcal80000000000.jpg	207000.0	[]	1294.0	NC	208328.0	28626	2137775909
2.0	3	Fleetwood	[u'Lot: 2.5 acres', u'Single Family', u'Built in 1991', u'All time views: 821', u'Heating: Heat pump', u'Last sold: Apr 2016 for $355,000', u'Last sale price/sqft: $171', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Porch', u'View: Mountain', u'Hot Water: Electric', u'Attic: Yes', u'Heat: Air Conditioning', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Basement: Crawl Space', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Road: Private Gravel', u'Exterior: Cedar', u'Style: Traditional', u'Style: Cottage', u'Amenities: Outbuilding', u'Hot Water: Other-See Remarks', u'Water: Well', u'Garage: Oversized', u'Heat: Fireplace-Wood Stove Insert', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Pond', u'Creek', u'Refrigerator', u'Roof type: Asphalt', u'Floor size: 2,071 sqft', u'Parcel #: 15202-056', u'Zillow Home ID: 114787530']	http://photos2.zillowstatic.com/p_e/IShvfkwcq4p7p80000000000.jpg	355000.0	[]	2071.0	NC	238780.0	28626	114787530
2.0	2	Fleetwood	[u'Lot: 1 acre', u'Single Family', u'Built in 1950', u'All time views: 2,784', u'Last sold: Apr 2016 for $72,000', u'Last sale price/sqft: $42', u'Floor size: 1,696 sqft', u'Parcel #: 13196-026', u'Zillow Home ID: 114785560']	http://photos2.zillowstatic.com/p_e/ISptvp8uxv6aly0000000000.jpg	72000.0	[]	1696.0	NC	165144.0	28626	114785560
3.5	4	Fleetwood	[u'Single Family', u'Built in 2002', u'All time views: 1,144', u'Last sold: Mar 2016 for $410,000', u'Last sale price/sqft: $101', u'Floor size: 4,066 sqft', u'Zillow Home ID: 2112032389']	http://photos2.zillowstatic.com/p_e/IS1nu9u3f7m13t0000000000.jpg	410000.0	[]	4066.0	NC	440564.0	28626	2112032389
4.0	3	Fleetwood	[u'Lot: 6.1 acres', u'Single Family', u'Built in 1988', u'All time views: 2,235', u'Heating: Baseboard, Heat pump, Other', u'Last sold: Mar 2016 for $415,000', u'Last sale price/sqft: $105', u'Parking: Garage - Detached', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 3,935 sqft', u'Heating: Electric, Oil', u'Laundry: In Unit', u'Parcel #: 13194-322', u'Zillow Home ID: 114785393']	http://photos2.zillowstatic.com/p_e/ISdsmkpdwnsqce1000000000.jpg	415000.0	[]	3935.0	NC	0.0	28626	114785393
