baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Coats	[u'Baths: 2 full, 1 half', u'Lot: 2.33 acres', u'Single Family', u'Built in 2002', u'All time views: 2,919', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Apr 2016 for $202,500', u'Last sale price/sqft: $103', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 4 spaces, 494 sqft garage', u'Porch', u'Appliance: RANGE', u'SMOKE ALARM(S)', u'BLINDS', u'Misc: GREAT ROOM', u'Miscellaneous: WINDOW TREATMENTS', u'Miscellaneous: FOYER', u'PropertyType: Residential', u'Sewer: Septic Tank', u'TypeHeat: C', u'SEPARATE SHOWER', u'Construction Type: Vinyl Siding', u'Misc: MBR DOWNSTAIRS', u'Miscellaneous: FINISHED BONUS ROOM', u'Water: Harnett County', u'Condition: Good', u'Style: Two Story', u'Misc: GRANITE COUNTERTOP', u'Contingency Type: Contingent on closing', u'SqFt Range: 1801 TO 1900', u'Electric: DUKE PROGRESS ENERGY', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,965 sqft', u'Heating: Electric', u'Last remodel year: 2002', u'Laundry: In Unit', u'Parcel #: 021507    0005 20', u'Zillow Home ID: 71867154']	http://photos3.zillowstatic.com/p_e/IS5eabkge7apkz0000000000.jpg	202500.0	[]	1965.0	NC	209189.0	27521	71867154
1.5	3	Coats	[u'Lot: 2.74 acres', u'Single Family', u'Built in 1936', u'All time views: 1,575', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Mar 2016 for $59,000', u'Last sale price/sqft: $54', u'Heat - electric', u'Roof type: Metal', u'Stories: 1', u'Floor size: 1,094 sqft', u'Last remodel year: 1936', u'Parcel #: 071610    0022', u'Zillow Home ID: 71854408']	http://photos2.zillowstatic.com/p_e/IStkfej1y8qk4b1000000000.jpg	59000.0	[]	1094.0	NC	64885.0	27521	71854408
2.0	3	Coats	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1980', u'All time views: 2,044', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $100,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 435 sqft garage', u'Patio', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Garage Floor: Main', u'Style: Ranch', u'Subdivision: Not in a Subdivision', u'Out Building', u'Parking: Garage', u'Country: USA', u'Acres: .51-.75 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,711 sqft', u'Last remodel year: 1980', u'Laundry: In Unit', u'Parcel #: 070599    0127', u'Zillow Home ID: 71851411']	http://photos3.zillowstatic.com/p_e/ISl6bvz0np6fj01000000000.jpg	100000.0	[]	1711.0	NC	107385.0	27521	71851411
3.0	3	Coats	[u'Baths: 2 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2015', u'All time views: 2,957', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $231,500', u'Last sale price/sqft: $112', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Security System', u'View: Territorial', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,067 sqft', u'Heating: Electric', u'Parcel #: 070589    0102 12', u'Zillow Home ID: 71884212']	http://photos1.zillowstatic.com/p_e/ISxf2wlpfu7qti1000000000.jpg	231500.0	[]	2067.0	NC	206891.0	27521	71884212
2.0	3	Coats	[u'Lot: 0.5 acres', u'Single Family', u'Built in 2004', u'All time views: 810', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $133,000', u'Last sale price/sqft: $98', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Off street, 2 spaces', u'Porch', u'Security System', u'Vaulted Ceiling', u'Wired', u'Appliance: RANGE', u'Appliance: DISPOSAL', u'Appliance: D HOOKUPS', u'Fireplace: None', u'Gas: None', u'SMOKE ALARM(S)', u'BLINDS', u'GARDEN TUB', u'Miscellaneous: WINDOW TREATMENTS', u'Miscellaneous: FOYER', u'PropertyType: Residential', u'Sewer: Septic Tank', u'Style: Ranch', u'TypeHeat: C', u'SEPARATE SHOWER', u'Misc: STORM DOOR(S)', u'Construction Type: Vinyl Siding', u'Misc: MBR DOWNSTAIRS', u'Misc: OTHER BR DOWNSTAIRS', u'Miscellaneous: OUTSIDE STORAGE', u'Miscellaneous: CRAWLSPACE', u'Misc: INSULATED WINDOW(S)', u'Water: Harnett County', u'Condition: Good', u'SiteDescription: DEAD END STREET', u'SiteDescription: CORNER LOT', u'SqFt Range: 1301 TO 1400', u'Electric: DUKE PROGRESS ENERGY', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,351 sqft', u'Heating: Electric', u'Last remodel year: 2016', u'Laundry: In Unit', u'Parcel #: 070680    0132 01', u'Zillow Home ID: 71870576']	http://photos2.zillowstatic.com/p_e/IS1jrsnbsf1hb40000000000.jpg	133000.0	[]	1351.0	NC	127763.0	27521	71870576
2.0	3	Coats	[u'Lot: 0.74 acres', u'Single Family', u'Built in 1993', u'All time views: 2,152', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $121,500', u'Last sale price/sqft: $71', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Pool', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: Family Room', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Fenced Yard', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Other Rooms: Separate Living room', u'Out Building', u'Parking: Concrete', u'Water: County Water', u'Storage Floor: Main', u'Other Rooms: Sun Room', u'Fireplace Description: No Fireplace', u'Fuel Heat: No Fuel Heat', u'Washer Dryer Location: Laundry Room', u'Acres: .51-.75 Acres', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,704 sqft', u'Last remodel year: 1993', u'Laundry: In Unit', u'Parcel #: 071610    0014', u'Zillow Home ID: 71857501']	http://photos1.zillowstatic.com/p_e/ISdgtdnk27efq01000000000.jpg	121500.0	[]	1704.0	NC	123003.0	27521	71857501
2.0	3	Coats	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2001', u'All time views: 644', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $137,500', u'Last sale price/sqft: $106', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'A: Central Air', u'Attic Description: Floored', u'Basement Description: No Basement', u'Equipment: Ice Maker Connection', u'Gutters', u'A: C Age 6+ Years', u'Design: One Story', u'Foundation: Crawl Space', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Hardwood Trees', u'Fenced Yard', u'Style: A-Frame', u'Parking: Concrete', u'Water: County Water', u'Foundation: Masonry', u'Barn', u'Water Heater: Water Htr Age 0-3 Yrs', u'Fuel Heat: No Fuel Heat', u'Subdivision: The Glen', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,295 sqft', u'Last remodel year: 2001', u'Laundry: In Unit', u'Parcel #: 070680    0132 03', u'Zillow Home ID: 71853260']	http://photos3.zillowstatic.com/p_e/IS9p5elduuaca01000000000.jpg	137500.0	[]	1295.0	NC	127935.0	27521	71853260
2.0	3	Coats	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1992', u'All time views: 770', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $113,000', u'Last sale price/sqft: $88', u'Flooring: Carpet, Laminate', u'Porch', u'A: Central Air', u'Attic Description: Unfinished Att', u'Shower', u'Design: One Story', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Breakfast Room Floor: Main', u'Style: Ranch', u'Fireplace: 0', u'Fuel Heat: No Fuel Heat', u'Subdivision: Birchfield', u'Acres: .51-.75 Acres', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,280 sqft', u'Last remodel year: 1998', u'Laundry: In Unit', u'Parcel #: 070680    0129 20', u'Zillow Home ID: 71862026']	http://photos2.zillowstatic.com/p_e/ISt8u9kefi5tia0000000000.jpg	113000.0	[]	1280.0	NC	122239.0	27521	71862026
2.0	2	Coats	[u'Lot: 2.64 acres', u'Single Family', u'Built in 1988', u'All time views: 402', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $135,000', u'Last sale price/sqft: $84', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 462 sqft garage', u'Porch', u'A: Central Air', u'Design: One Story', u'HO Fees Include: None Known', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Storage Shed', u'Garage Floor: Main', u'Style: A-Frame', u'Subdivision: Not in a Subdivision', u'Parking: Earth', u'Storage Floor: Main', u'Barn', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Country: USA', u'Acres: 1-2.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,603 sqft', u'Heating: Gas', u'Last remodel year: 1988', u'Laundry: In Unit', u'Parcel #: 071600    0159', u'Zillow Home ID: 71875321']	http://photos2.zillowstatic.com/p_e/ISphql0lp8mui41000000000.jpg	135000.0	[]	1603.0	NC	137729.0	27521	71875321
3.0	3	Coats	[u'Baths: 2 full, 1 half', u'Lot: 1.36 acres', u'Single Family', u'Built in 2006', u'All time views: 2,050', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $240,000', u'Last sale price/sqft: $83', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Hot Tub/Spa', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Porch', u'Security System', u'Vaulted Ceiling', u'Wet Bar', u'SCREENED PORCH', u'HOT TUB UNDER GAZEBO', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,901 sqft', u'Heating: Electric', u'Last remodel year: 2006', u'Parcel #: 070690    0201 07', u'Zillow Home ID: 71488426']	http://photos3.zillowstatic.com/p_e/ISxvqt4b8ftji40000000000.jpg	240000.0	[]	2901.0	NC	264270.0	27521	71488426
2.0	3	Coats	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2002', u'All time views: 524', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $150,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 600 sqft garage', u'Patio', u'Porch', u'A: Central Air', u'Design: One Story', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Storage Shed', u'Garage Floor: Main', u'Style: A-Frame', u'Whirlpool', u'Parking: Concrete', u'Water: County Water', u'Water: County Sewer', u'Parking: Garage', u'9 Ft Ceiling', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: .51-.75 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Subdivision: White Pines', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,632 sqft', u'Last remodel year: 2002', u'Parcel #: 070589    0090 04', u'Zillow Home ID: 71853011']	http://photos2.zillowstatic.com/p_e/IS1zrbzu6igder1000000000.jpg	150000.0	[]	1632.0	NC	152371.0	27521	71853011
2.0	3	Coats	[u'Lot: 1.09 acres', u'Single Family', u'Built in 2015', u'All time views: 1,170', u'Heating: Heat pump', u'Last sold: Apr 2016 for $188,000', u'Last sale price/sqft: $108', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Ice Maker Connection', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'New Construction: Yes', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: Utility Room', u'Breakfast Room Floor: Main', u'Bonus Room Floor: Second', u'Garage Floor: Main', u'Subdivision: Not in a Subdivision', u'Equipment: Elec. Dryer HU', u'Equipment: Garage Opener', u'Exterior Finish: Shake', u'Other Rooms: Finish', u'Parking: Concrete', u'Water: County Water', u'Fuel Heat: No Fuel Heat', u'Exterior Finish: Batten', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'9 Ft Ceiling', u'Granite Counter Tops', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: 1-2.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Microwave', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,748 sqft', u'Parcel #: 071509    0069 03', u'Zillow Home ID: 71876498']	http://photos2.zillowstatic.com/p_e/ISt4roinlkbgfe1000000000.jpg	188000.0	[]	1748.0	NC	0.0	27521	71876498
3.0	3	Coats	[u'Lot: 0.73 acres', u'Single Family', u'Built in 1998', u'All time views: 91', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $215,000', u'Last sale price/sqft: $101', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: 528 sqft garage', u'Porch', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Design: 1.5 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Storage Shed', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Office', u'Other Rooms: Utility Room', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Style: A-Frame', u'Garden Tub', u'Equipment: Cooktop ? Electric', u'Other Rooms: Finish', u'Parking: Concrete', u'Water: County Water', u'Office: Second', u'Parking: Garage', u'9 Ft Ceiling', u'Country: USA', u'Acres: .51-.75 Acres', u'Bookshelves', u'LA1Agent Phone1 CountryId: United States (+1)', u'Subdivision: Meadow Lane', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 2,133 sqft', u'Last remodel year: 1998', u'Parcel #: 070589    0100 08', u'Zillow Home ID: 71859554']	http://photos3.zillowstatic.com/p_e/IStspzgo2a8ger1000000000.jpg	215000.0	[]	2133.0	NC	205189.0	27521	71859554
3.0	3	Coats	[u'Baths: 2 full, 1 half', u'Lot: 2.33 acres', u'Single Family', u'Built in 2002', u'All time views: 2,920', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Apr 2016 for $202,500', u'Last sale price/sqft: $103', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 4 spaces, 494 sqft garage', u'Porch', u'Appliance: RANGE', u'SMOKE ALARM(S)', u'BLINDS', u'Misc: GREAT ROOM', u'Miscellaneous: WINDOW TREATMENTS', u'Miscellaneous: FOYER', u'PropertyType: Residential', u'Sewer: Septic Tank', u'TypeHeat: C', u'SEPARATE SHOWER', u'Construction Type: Vinyl Siding', u'Misc: MBR DOWNSTAIRS', u'Miscellaneous: FINISHED BONUS ROOM', u'Water: Harnett County', u'Condition: Good', u'Style: Two Story', u'Misc: GRANITE COUNTERTOP', u'Contingency Type: Contingent on closing', u'SqFt Range: 1801 TO 1900', u'Electric: DUKE PROGRESS ENERGY', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,965 sqft', u'Heating: Electric', u'Last remodel year: 2002', u'Laundry: In Unit', u'Parcel #: 021507    0005 20', u'Zillow Home ID: 71867154']	http://photos3.zillowstatic.com/p_e/IS5eabkge7apkz0000000000.jpg	202500.0	[]	1965.0	NC	209189.0	27521	71867154
1.5	3	Coats	[u'Lot: 2.74 acres', u'Single Family', u'Built in 1936', u'All time views: 1,576', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Mar 2016 for $59,000', u'Last sale price/sqft: $54', u'Heat - electric', u'Roof type: Metal', u'Stories: 1', u'Floor size: 1,094 sqft', u'Last remodel year: 1936', u'Parcel #: 071610    0022', u'Zillow Home ID: 71854408']	http://photos2.zillowstatic.com/p_e/IStkfej1y8qk4b1000000000.jpg	59000.0	[]	1094.0	NC	64885.0	27521	71854408
2.0	3	Coats	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1980', u'All time views: 2,045', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $100,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 435 sqft garage', u'Patio', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Garage Floor: Main', u'Style: Ranch', u'Subdivision: Not in a Subdivision', u'Out Building', u'Parking: Garage', u'Country: USA', u'Acres: .51-.75 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,711 sqft', u'Last remodel year: 1980', u'Laundry: In Unit', u'Parcel #: 070599    0127', u'Zillow Home ID: 71851411']	http://photos3.zillowstatic.com/p_e/ISl6bvz0np6fj01000000000.jpg	100000.0	[]	1711.0	NC	107385.0	27521	71851411
3.0	3	Coats	[u'Baths: 2 full, 1 half', u'Lot: 0.58 acres', u'Single Family', u'Built in 2015', u'All time views: 2,958', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $231,500', u'Last sale price/sqft: $112', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Security System', u'View: Territorial', u'Dishwasher', u'Family room', u'Exterior material: Stone', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,067 sqft', u'Heating: Electric', u'Parcel #: 070589    0102 12', u'Zillow Home ID: 71884212']	http://photos1.zillowstatic.com/p_e/ISxf2wlpfu7qti1000000000.jpg	231500.0	[]	2067.0	NC	206891.0	27521	71884212
2.0	3	Coats	[u'Lot: 0.5 acres', u'Single Family', u'Built in 2004', u'All time views: 811', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $133,000', u'Last sale price/sqft: $98', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Off street, 2 spaces', u'Porch', u'Security System', u'Vaulted Ceiling', u'Wired', u'Appliance: RANGE', u'Appliance: DISPOSAL', u'Appliance: D HOOKUPS', u'Fireplace: None', u'Gas: None', u'SMOKE ALARM(S)', u'BLINDS', u'GARDEN TUB', u'Miscellaneous: WINDOW TREATMENTS', u'Miscellaneous: FOYER', u'PropertyType: Residential', u'Sewer: Septic Tank', u'Style: Ranch', u'TypeHeat: C', u'SEPARATE SHOWER', u'Misc: STORM DOOR(S)', u'Construction Type: Vinyl Siding', u'Misc: MBR DOWNSTAIRS', u'Misc: OTHER BR DOWNSTAIRS', u'Miscellaneous: OUTSIDE STORAGE', u'Miscellaneous: CRAWLSPACE', u'Misc: INSULATED WINDOW(S)', u'Water: Harnett County', u'Condition: Good', u'SiteDescription: DEAD END STREET', u'SiteDescription: CORNER LOT', u'SqFt Range: 1301 TO 1400', u'Electric: DUKE PROGRESS ENERGY', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,351 sqft', u'Heating: Electric', u'Last remodel year: 2016', u'Laundry: In Unit', u'Parcel #: 070680    0132 01', u'Zillow Home ID: 71870576']	http://photos2.zillowstatic.com/p_e/IS1jrsnbsf1hb40000000000.jpg	133000.0	[]	1351.0	NC	127763.0	27521	71870576
2.0	3	Coats	[u'Lot: 0.74 acres', u'Single Family', u'Built in 1993', u'All time views: 2,153', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $121,500', u'Last sale price/sqft: $71', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Pool', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: Family Room', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Fenced Yard', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Other Rooms: Separate Living room', u'Out Building', u'Parking: Concrete', u'Water: County Water', u'Storage Floor: Main', u'Other Rooms: Sun Room', u'Fireplace Description: No Fireplace', u'Fuel Heat: No Fuel Heat', u'Washer Dryer Location: Laundry Room', u'Acres: .51-.75 Acres', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,704 sqft', u'Last remodel year: 1993', u'Laundry: In Unit', u'Parcel #: 071610    0014', u'Zillow Home ID: 71857501']	http://photos1.zillowstatic.com/p_e/ISdgtdnk27efq01000000000.jpg	121500.0	[]	1704.0	NC	123003.0	27521	71857501
