baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 578', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 856', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 896', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 572', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 580', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 852', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 897', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 562', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 839', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 888', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 564', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 572', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 848', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 565', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 850', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 563', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 571', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 849', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 889', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 566', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 574', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 841', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 890', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 568', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 573', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 838', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 894', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 574', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 582', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 847', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
2.0	3	Gatesville	[u'Single Family', u'Built in 1910', u'All time views: 901', u'Heating: Heat pump', u'Last sold: Feb 2014 for $150,000', u'Last sale price/sqft: $67', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,240 sqft', u'Parcel #: 01-00045', u'Zillow Home ID: 106977567']	http://photos2.zillowstatic.com/p_e/IS2kova2wc63dv.jpg	150000.0	[]	2240.0	NC	179190.0	27938	106977567
1.0	3	Gatesville	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 1969', u'All time views: 576', u'Heating: Heat pump', u'Last sold: Sep 2013 for $20,000', u'Last sale price/sqft: $24', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 832 sqft', u'Parcel #: 01-00882', u'Zillow Home ID: 106977967']	http://photos2.zillowstatic.com/p_e/IShrsz5fcwyct30000000000.jpg	20000.0	[]	832.0	NC	129900.0	27938	106977967
1.0	3	Gatesville	[u'Lot: 1.14 acres', u'Single Family', u'Built in 1989', u'All time views: 588', u'Heating: Other', u'Last sold: Jun 2015 for $17,500', u'Last sale price/sqft: $20', u'Exterior material: Wood', u'Foundation type: Piers', u'Roof type: Shake Shingle', u'Room count: 4', u'Stories: 1', u'Floor size: 896 sqft', u'Parcel #: 01-01084', u'Zillow Home ID: 106977073']	http://photos2.zillowstatic.com/p_e/ISdcq82pk7rmoi1000000000.jpg	17500.0	[]	896.0	NC	128279.0	27938	106977073
1.0	3	Gatesville	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1955', u'All time views: 843', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2014 for $92,000', u'Last sale price/sqft: $73', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,257 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 01-00913', u'Zillow Home ID: 106977986']	http://photos1.zillowstatic.com/p_e/ISlmvx3rjo763n1000000000.jpg	92000.0	[]	1257.0	NC	152493.0	27938	106977986
