baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	3	Creston	[u'Baths: 2 full, 1 half', u'Lot: 19.08 acres', u'Single Family', u'Built in 2007', u'98 days on Zillow', u'Views since listing: 1,082', u'All time views: 1,194', u'8 shoppers saved this home', u'Heating: Heat pump', u'Last sold: Jun 2014 for $322,500', u'Last sale price/sqft: $104', u'MLS #: 39202053', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Porch', u'View: Mountain', u'Waterfront', u'Style: Mountain', u'Appliances: Exhaust Fan', u'Amenities: Other-See Remarks', u'Road: State Maintained Paved', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Amenities: Whirl Pool Tub', u'Heat: C', u'Zoning: None', u'Garage: 1 Car', u'Amenities: Pasture', u'Garage: 3+ Car', u'Amenities: Outbuilding', u'Amenities: Short Term Rental Permitted', u'Garage: Other-See Remarks', u'Amenities: Long Term Rental Permitted', u'Amenities: Horses Permitted', u'Hot Water: Tankless-Gas', u'Garage: Oversized', u'Roof: Architectural Shingle', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Creek', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Stone, Vinyl', u'Structure type: Contemporary', u'Floor size: 3,098 sqft', u'Heating: Gas', u'Parcel #: 03084-063', u'Zillow Home ID: 114792788']	http://photos3.zillowstatic.com/p_e/ISx70pwgxnrhg20000000000.jpg	322500.0	[]	3098.0	NC	557069.0	28615	114792788
2.0	3	Creston	[u'Lot: 0.56 acres', u'Single Family', u'Built in 1996', u'All time views: 481', u'Last sold: Dec 2015 for $29,500', u'Last sale price/sqft: $20', u'Floor size: 1,512 sqft', u'Parcel #: 03084-183', u'Zillow Home ID: 114792741']	http://photos2.zillowstatic.com/p_e/ISdw9l8wxfkz390000000000.jpg	29500.0	[]	1512.0	NC	123858.0	28615	114792741
1.0	3	Creston	[u'Lot: 25.19 acres', u'Single Family', u'All time views: 3,854', u'Last sold: Dec 2015 for $140,000', u'Last sale price/sqft: $143', u'Floor size: 980 sqft', u'Zillow Home ID: 2101816673']	http://photos1.zillowstatic.com/p_e/IS13zbbjydi0r70000000000.jpg	140000.0	[]	980.0	NC	132931.0	28615	2101816673
2.0	3	Creston	[u'Lot: 5.32 acres', u'Single Family', u'Built in 1999', u'All time views: 1,990', u'Last sold: Oct 2015 for $132,000', u'Last sale price/sqft: $87', u'Floor size: 1,521 sqft', u'Zillow Home ID: 2101763875']	http://photos1.zillowstatic.com/p_e/IS9hr10v2pacig1000000000.jpg	132000.0	[]	1521.0	NC	155266.0	28615	2101763875
1.0	2	Creston	[u'Lot: 18 acres', u'Single Family', u'Built in 1952', u'All time views: 1,267', u'Last sold: Sep 2015 for $162,000', u'Last sale price/sqft: $136', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Off street', u'Patio', u'Storage', u'View: Mountain', u'Tankless Water Heater', u'Natural Light', u'Private Setting', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Roof type: Metal', u'Stories: 2', u'Floor size: 1,188 sqft', u'Zillow Home ID: 2102170811']	http://photos1.zillowstatic.com/p_e/IS9l2xy447ql070000000000.jpg	162000.0	[]	1188.0	NC	157257.0	28615	2102170811
1.5	3	Creston	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1968', u'All time views: 642', u'Last sold: Jun 2015 for $113,000', u'Last sale price/sqft: $68', u'Fireplace', u'Floor size: 1,651 sqft', u'Parcel #: 11030-133', u'Zillow Home ID: 114783348']	http://photos1.zillowstatic.com/p_e/ISpdz9ism9me8d1000000000.jpg	113000.0	[]	1651.0	NC	153046.0	28615	114783348
1.0	3	Creston	[u'Lot: 0.63 acres', u'Single Family', u'Built in 1960', u'All time views: 1,641', u'Last sold: Mar 2015 for $36,000', u'Last sale price/sqft: $27', u'Floor size: 1,352 sqft', u'Parcel #: 03080-045', u'Zillow Home ID: 114792782']	http://photos3.zillowstatic.com/p_e/ISt8ychp98f2ro1000000000.jpg	36000.0	[]	1352.0	NC	138546.0	28615	114792782
3.0	3	Creston	[u'Lot: 19.48 acres', u'Single Family', u'Built in 1988', u'All time views: 1,447', u'Last sold: Jan 2015 for $420,000', u'Last sale price/sqft: $208', u'Floor size: 2,023 sqft', u'Parcel #: 11030-223', u'Zillow Home ID: 114783384']	http://photos1.zillowstatic.com/p_e/IS995v9yaxs6rs0000000000.jpg	420000.0	[]	2023.0	NC	278910.0	28615	114783384
1.0	2	Creston	[u'Lot: 2 acres', u'Single Family', u'Built in 1952', u'All time views: 862', u'Last sold: Jan 2015 for $107,000', u'Last sale price/sqft: $121', u'Floor size: 887 sqft', u'Parcel #: 11084-020', u'Zillow Home ID: 114783637']	http://photos1.zillowstatic.com/p_e/IS9p9poubemfm50000000000.jpg	107000.0	[]	887.0	NC	142486.0	28615	114783637
2.5	3	Creston	[u'Baths: 2 full, 1 half', u'Lot: 19.08 acres', u'Single Family', u'Built in 2007', u'98 days on Zillow', u'Views since listing: 1,082', u'All time views: 1,195', u'8 shoppers saved this home', u'Heating: Heat pump', u'Last sold: Jun 2014 for $322,500', u'Last sale price/sqft: $104', u'MLS #: 39202053', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Porch', u'View: Mountain', u'Waterfront', u'Style: Mountain', u'Appliances: Exhaust Fan', u'Amenities: Other-See Remarks', u'Road: State Maintained Paved', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Amenities: Whirl Pool Tub', u'Heat: C', u'Zoning: None', u'Garage: 1 Car', u'Amenities: Pasture', u'Garage: 3+ Car', u'Amenities: Outbuilding', u'Amenities: Short Term Rental Permitted', u'Garage: Other-See Remarks', u'Amenities: Long Term Rental Permitted', u'Amenities: Horses Permitted', u'Hot Water: Tankless-Gas', u'Garage: Oversized', u'Roof: Architectural Shingle', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Creek', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Stone, Vinyl', u'Structure type: Contemporary', u'Floor size: 3,098 sqft', u'Heating: Gas', u'Parcel #: 03084-063', u'Zillow Home ID: 114792788']	http://photos3.zillowstatic.com/p_e/ISx70pwgxnrhg20000000000.jpg	322500.0	[]	3098.0	NC	557069.0	28615	114792788
2.0	3	Creston	[u'Lot: 0.56 acres', u'Single Family', u'Built in 1996', u'All time views: 482', u'Last sold: Dec 2015 for $29,500', u'Last sale price/sqft: $20', u'Floor size: 1,512 sqft', u'Parcel #: 03084-183', u'Zillow Home ID: 114792741']	http://photos2.zillowstatic.com/p_e/ISdw9l8wxfkz390000000000.jpg	29500.0	[]	1512.0	NC	123858.0	28615	114792741
1.0	3	Creston	[u'Lot: 25.19 acres', u'Single Family', u'All time views: 3,855', u'Last sold: Dec 2015 for $140,000', u'Last sale price/sqft: $143', u'Floor size: 980 sqft', u'Zillow Home ID: 2101816673']	http://photos1.zillowstatic.com/p_e/IS13zbbjydi0r70000000000.jpg	140000.0	[]	980.0	NC	132931.0	28615	2101816673
2.0	3	Creston	[u'Lot: 5.32 acres', u'Single Family', u'Built in 1999', u'All time views: 1,991', u'Last sold: Oct 2015 for $132,000', u'Last sale price/sqft: $87', u'Floor size: 1,521 sqft', u'Zillow Home ID: 2101763875']	http://photos1.zillowstatic.com/p_e/IS9hr10v2pacig1000000000.jpg	132000.0	[]	1521.0	NC	155266.0	28615	2101763875
1.0	2	Creston	[u'Lot: 18 acres', u'Single Family', u'Built in 1952', u'All time views: 1,268', u'Last sold: Sep 2015 for $162,000', u'Last sale price/sqft: $136', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Off street', u'Patio', u'Storage', u'View: Mountain', u'Tankless Water Heater', u'Natural Light', u'Private Setting', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Roof type: Metal', u'Stories: 2', u'Floor size: 1,188 sqft', u'Zillow Home ID: 2102170811']	http://photos1.zillowstatic.com/p_e/IS9l2xy447ql070000000000.jpg	162000.0	[]	1188.0	NC	157257.0	28615	2102170811
1.5	3	Creston	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1968', u'All time views: 643', u'Last sold: Jun 2015 for $113,000', u'Last sale price/sqft: $68', u'Fireplace', u'Floor size: 1,651 sqft', u'Parcel #: 11030-133', u'Zillow Home ID: 114783348']	http://photos1.zillowstatic.com/p_e/ISpdz9ism9me8d1000000000.jpg	113000.0	[]	1651.0	NC	153046.0	28615	114783348
1.0	3	Creston	[u'Lot: 0.63 acres', u'Single Family', u'Built in 1960', u'All time views: 1,642', u'Last sold: Mar 2015 for $36,000', u'Last sale price/sqft: $27', u'Floor size: 1,352 sqft', u'Parcel #: 03080-045', u'Zillow Home ID: 114792782']	http://photos3.zillowstatic.com/p_e/ISt8ychp98f2ro1000000000.jpg	36000.0	[]	1352.0	NC	138546.0	28615	114792782
3.0	3	Creston	[u'Lot: 19.48 acres', u'Single Family', u'Built in 1988', u'All time views: 1,448', u'Last sold: Jan 2015 for $420,000', u'Last sale price/sqft: $208', u'Floor size: 2,023 sqft', u'Parcel #: 11030-223', u'Zillow Home ID: 114783384']	http://photos1.zillowstatic.com/p_e/IS995v9yaxs6rs0000000000.jpg	420000.0	[]	2023.0	NC	278910.0	28615	114783384
1.0	2	Creston	[u'Lot: 2 acres', u'Single Family', u'Built in 1952', u'All time views: 863', u'Last sold: Jan 2015 for $107,000', u'Last sale price/sqft: $121', u'Floor size: 887 sqft', u'Parcel #: 11084-020', u'Zillow Home ID: 114783637']	http://photos1.zillowstatic.com/p_e/IS9p9poubemfm50000000000.jpg	107000.0	[]	887.0	NC	142486.0	28615	114783637
2.5	3	Creston	[u'Baths: 2 full, 1 half', u'Lot: 19.08 acres', u'Single Family', u'Built in 2007', u'98 days on Zillow', u'Views since listing: 1,084', u'All time views: 1,196', u'8 shoppers saved this home', u'Heating: Heat pump', u'Last sold: Jun 2014 for $322,500', u'Last sale price/sqft: $104', u'MLS #: 39202053', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Porch', u'View: Mountain', u'Waterfront', u'Style: Mountain', u'Appliances: Exhaust Fan', u'Amenities: Other-See Remarks', u'Road: State Maintained Paved', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Amenities: Whirl Pool Tub', u'Heat: C', u'Zoning: None', u'Garage: 1 Car', u'Amenities: Pasture', u'Garage: 3+ Car', u'Amenities: Outbuilding', u'Amenities: Short Term Rental Permitted', u'Garage: Other-See Remarks', u'Amenities: Long Term Rental Permitted', u'Amenities: Horses Permitted', u'Hot Water: Tankless-Gas', u'Garage: Oversized', u'Roof: Architectural Shingle', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Creek', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Stone, Vinyl', u'Structure type: Contemporary', u'Floor size: 3,098 sqft', u'Heating: Gas', u'Parcel #: 03084-063', u'Zillow Home ID: 114792788']	http://photos3.zillowstatic.com/p_e/ISx70pwgxnrhg20000000000.jpg	322500.0	[]	3098.0	NC	557069.0	28615	114792788
2.0	3	Creston	[u'Lot: 0.56 acres', u'Single Family', u'Built in 1996', u'All time views: 483', u'Last sold: Dec 2015 for $29,500', u'Last sale price/sqft: $20', u'Floor size: 1,512 sqft', u'Parcel #: 03084-183', u'Zillow Home ID: 114792741']	http://photos2.zillowstatic.com/p_e/ISdw9l8wxfkz390000000000.jpg	29500.0	[]	1512.0	NC	123858.0	28615	114792741
1.0	3	Creston	[u'Lot: 25.19 acres', u'Single Family', u'All time views: 3,856', u'Last sold: Dec 2015 for $140,000', u'Last sale price/sqft: $143', u'Floor size: 980 sqft', u'Zillow Home ID: 2101816673']	http://photos1.zillowstatic.com/p_e/IS13zbbjydi0r70000000000.jpg	140000.0	[]	980.0	NC	132931.0	28615	2101816673
2.0	3	Creston	[u'Lot: 5.32 acres', u'Single Family', u'Built in 1999', u'All time views: 1,992', u'Last sold: Oct 2015 for $132,000', u'Last sale price/sqft: $87', u'Floor size: 1,521 sqft', u'Zillow Home ID: 2101763875']	http://photos1.zillowstatic.com/p_e/IS9hr10v2pacig1000000000.jpg	132000.0	[]	1521.0	NC	155266.0	28615	2101763875
1.0	2	Creston	[u'Lot: 18 acres', u'Single Family', u'Built in 1952', u'All time views: 1,269', u'Last sold: Sep 2015 for $162,000', u'Last sale price/sqft: $136', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Off street', u'Patio', u'Storage', u'View: Mountain', u'Tankless Water Heater', u'Natural Light', u'Private Setting', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Roof type: Metal', u'Stories: 2', u'Floor size: 1,188 sqft', u'Zillow Home ID: 2102170811']	http://photos1.zillowstatic.com/p_e/IS9l2xy447ql070000000000.jpg	162000.0	[]	1188.0	NC	157257.0	28615	2102170811
1.5	3	Creston	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1968', u'All time views: 644', u'Last sold: Jun 2015 for $113,000', u'Last sale price/sqft: $68', u'Fireplace', u'Floor size: 1,651 sqft', u'Parcel #: 11030-133', u'Zillow Home ID: 114783348']	http://photos1.zillowstatic.com/p_e/ISpdz9ism9me8d1000000000.jpg	113000.0	[]	1651.0	NC	153046.0	28615	114783348
1.0	3	Creston	[u'Lot: 0.63 acres', u'Single Family', u'Built in 1960', u'All time views: 1,643', u'Last sold: Mar 2015 for $36,000', u'Last sale price/sqft: $27', u'Floor size: 1,352 sqft', u'Parcel #: 03080-045', u'Zillow Home ID: 114792782']	http://photos3.zillowstatic.com/p_e/ISt8ychp98f2ro1000000000.jpg	36000.0	[]	1352.0	NC	138546.0	28615	114792782
3.0	3	Creston	[u'Lot: 19.48 acres', u'Single Family', u'Built in 1988', u'All time views: 1,449', u'Last sold: Jan 2015 for $420,000', u'Last sale price/sqft: $208', u'Floor size: 2,023 sqft', u'Parcel #: 11030-223', u'Zillow Home ID: 114783384']	http://photos1.zillowstatic.com/p_e/IS995v9yaxs6rs0000000000.jpg	420000.0	[]	2023.0	NC	278910.0	28615	114783384
1.0	2	Creston	[u'Lot: 2 acres', u'Single Family', u'Built in 1952', u'All time views: 864', u'Last sold: Jan 2015 for $107,000', u'Last sale price/sqft: $121', u'Floor size: 887 sqft', u'Parcel #: 11084-020', u'Zillow Home ID: 114783637']	http://photos1.zillowstatic.com/p_e/IS9p9poubemfm50000000000.jpg	107000.0	[]	887.0	NC	142486.0	28615	114783637
2.5	3	Creston	[u'Baths: 2 full, 1 half', u'Lot: 19.08 acres', u'Single Family', u'Built in 2007', u'98 days on Zillow', u'Views since listing: 1,085', u'All time views: 1,197', u'8 shoppers saved this home', u'Heating: Heat pump', u'Last sold: Jun 2014 for $322,500', u'Last sale price/sqft: $104', u'MLS #: 39202053', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Porch', u'View: Mountain', u'Waterfront', u'Style: Mountain', u'Appliances: Exhaust Fan', u'Amenities: Other-See Remarks', u'Road: State Maintained Paved', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Amenities: Whirl Pool Tub', u'Heat: C', u'Zoning: None', u'Garage: 1 Car', u'Amenities: Pasture', u'Garage: 3+ Car', u'Amenities: Outbuilding', u'Amenities: Short Term Rental Permitted', u'Garage: Other-See Remarks', u'Amenities: Long Term Rental Permitted', u'Amenities: Horses Permitted', u'Hot Water: Tankless-Gas', u'Garage: Oversized', u'Roof: Architectural Shingle', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Creek', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Stone, Vinyl', u'Structure type: Contemporary', u'Floor size: 3,098 sqft', u'Heating: Gas', u'Parcel #: 03084-063', u'Zillow Home ID: 114792788']	http://photos3.zillowstatic.com/p_e/ISx70pwgxnrhg20000000000.jpg	322500.0	[]	3098.0	NC	557069.0	28615	114792788
2.0	3	Creston	[u'Lot: 0.56 acres', u'Single Family', u'Built in 1996', u'All time views: 484', u'Last sold: Dec 2015 for $29,500', u'Last sale price/sqft: $20', u'Floor size: 1,512 sqft', u'Parcel #: 03084-183', u'Zillow Home ID: 114792741']	http://photos2.zillowstatic.com/p_e/ISdw9l8wxfkz390000000000.jpg	29500.0	[]	1512.0	NC	123858.0	28615	114792741
1.0	3	Creston	[u'Lot: 25.19 acres', u'Single Family', u'All time views: 3,857', u'Last sold: Dec 2015 for $140,000', u'Last sale price/sqft: $143', u'Floor size: 980 sqft', u'Zillow Home ID: 2101816673']	http://photos1.zillowstatic.com/p_e/IS13zbbjydi0r70000000000.jpg	140000.0	[]	980.0	NC	132931.0	28615	2101816673
2.0	3	Creston	[u'Lot: 5.32 acres', u'Single Family', u'Built in 1999', u'All time views: 1,993', u'Last sold: Oct 2015 for $132,000', u'Last sale price/sqft: $87', u'Floor size: 1,521 sqft', u'Zillow Home ID: 2101763875']	http://photos1.zillowstatic.com/p_e/IS9hr10v2pacig1000000000.jpg	132000.0	[]	1521.0	NC	155266.0	28615	2101763875
1.0	2	Creston	[u'Lot: 18 acres', u'Single Family', u'Built in 1952', u'All time views: 1,270', u'Last sold: Sep 2015 for $162,000', u'Last sale price/sqft: $136', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Off street', u'Patio', u'Storage', u'View: Mountain', u'Tankless Water Heater', u'Natural Light', u'Private Setting', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Roof type: Metal', u'Stories: 2', u'Floor size: 1,188 sqft', u'Zillow Home ID: 2102170811']	http://photos1.zillowstatic.com/p_e/IS9l2xy447ql070000000000.jpg	162000.0	[]	1188.0	NC	157257.0	28615	2102170811
1.5	3	Creston	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1968', u'All time views: 645', u'Last sold: Jun 2015 for $113,000', u'Last sale price/sqft: $68', u'Fireplace', u'Floor size: 1,651 sqft', u'Parcel #: 11030-133', u'Zillow Home ID: 114783348']	http://photos1.zillowstatic.com/p_e/ISpdz9ism9me8d1000000000.jpg	113000.0	[]	1651.0	NC	153046.0	28615	114783348
1.0	3	Creston	[u'Lot: 0.63 acres', u'Single Family', u'Built in 1960', u'All time views: 1,644', u'Last sold: Mar 2015 for $36,000', u'Last sale price/sqft: $27', u'Floor size: 1,352 sqft', u'Parcel #: 03080-045', u'Zillow Home ID: 114792782']	http://photos3.zillowstatic.com/p_e/ISt8ychp98f2ro1000000000.jpg	36000.0	[]	1352.0	NC	138546.0	28615	114792782
3.0	3	Creston	[u'Lot: 19.48 acres', u'Single Family', u'Built in 1988', u'All time views: 1,450', u'Last sold: Jan 2015 for $420,000', u'Last sale price/sqft: $208', u'Floor size: 2,023 sqft', u'Parcel #: 11030-223', u'Zillow Home ID: 114783384']	http://photos1.zillowstatic.com/p_e/IS995v9yaxs6rs0000000000.jpg	420000.0	[]	2023.0	NC	278910.0	28615	114783384
1.0	2	Creston	[u'Lot: 2 acres', u'Single Family', u'Built in 1952', u'All time views: 865', u'Last sold: Jan 2015 for $107,000', u'Last sale price/sqft: $121', u'Floor size: 887 sqft', u'Parcel #: 11084-020', u'Zillow Home ID: 114783637']	http://photos1.zillowstatic.com/p_e/IS9p9poubemfm50000000000.jpg	107000.0	[]	887.0	NC	142486.0	28615	114783637
2.5	3	Creston	[u'Baths: 2 full, 1 half', u'Lot: 19.08 acres', u'Single Family', u'Built in 2007', u'98 days on Zillow', u'Views since listing: 1,085', u'All time views: 1,198', u'8 shoppers saved this home', u'Heating: Heat pump', u'Last sold: Jun 2014 for $322,500', u'Last sale price/sqft: $104', u'MLS #: 39202053', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Porch', u'View: Mountain', u'Waterfront', u'Style: Mountain', u'Appliances: Exhaust Fan', u'Amenities: Other-See Remarks', u'Road: State Maintained Paved', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Amenities: Whirl Pool Tub', u'Heat: C', u'Zoning: None', u'Garage: 1 Car', u'Amenities: Pasture', u'Garage: 3+ Car', u'Amenities: Outbuilding', u'Amenities: Short Term Rental Permitted', u'Garage: Other-See Remarks', u'Amenities: Long Term Rental Permitted', u'Amenities: Horses Permitted', u'Hot Water: Tankless-Gas', u'Garage: Oversized', u'Roof: Architectural Shingle', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Creek', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Stone, Vinyl', u'Structure type: Contemporary', u'Floor size: 3,098 sqft', u'Heating: Gas', u'Parcel #: 03084-063', u'Zillow Home ID: 114792788']	http://photos3.zillowstatic.com/p_e/ISx70pwgxnrhg20000000000.jpg	322500.0	[]	3098.0	NC	557069.0	28615	114792788
2.0	3	Creston	[u'Lot: 0.56 acres', u'Single Family', u'Built in 1996', u'All time views: 485', u'Last sold: Dec 2015 for $29,500', u'Last sale price/sqft: $20', u'Floor size: 1,512 sqft', u'Parcel #: 03084-183', u'Zillow Home ID: 114792741']	http://photos2.zillowstatic.com/p_e/ISdw9l8wxfkz390000000000.jpg	29500.0	[]	1512.0	NC	123858.0	28615	114792741
1.0	3	Creston	[u'Lot: 25.19 acres', u'Single Family', u'All time views: 3,858', u'Last sold: Dec 2015 for $140,000', u'Last sale price/sqft: $143', u'Floor size: 980 sqft', u'Zillow Home ID: 2101816673']	http://photos1.zillowstatic.com/p_e/IS13zbbjydi0r70000000000.jpg	140000.0	[]	980.0	NC	132931.0	28615	2101816673
2.0	3	Creston	[u'Lot: 5.32 acres', u'Single Family', u'Built in 1999', u'All time views: 1,994', u'Last sold: Oct 2015 for $132,000', u'Last sale price/sqft: $87', u'Floor size: 1,521 sqft', u'Zillow Home ID: 2101763875']	http://photos1.zillowstatic.com/p_e/IS9hr10v2pacig1000000000.jpg	132000.0	[]	1521.0	NC	155266.0	28615	2101763875
1.0	2	Creston	[u'Lot: 18 acres', u'Single Family', u'Built in 1952', u'All time views: 1,271', u'Last sold: Sep 2015 for $162,000', u'Last sale price/sqft: $136', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Off street', u'Patio', u'Storage', u'View: Mountain', u'Tankless Water Heater', u'Natural Light', u'Private Setting', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Roof type: Metal', u'Stories: 2', u'Floor size: 1,188 sqft', u'Zillow Home ID: 2102170811']	http://photos1.zillowstatic.com/p_e/IS9l2xy447ql070000000000.jpg	162000.0	[]	1188.0	NC	157257.0	28615	2102170811
1.5	3	Creston	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1968', u'All time views: 646', u'Last sold: Jun 2015 for $113,000', u'Last sale price/sqft: $68', u'Fireplace', u'Floor size: 1,651 sqft', u'Parcel #: 11030-133', u'Zillow Home ID: 114783348']	http://photos1.zillowstatic.com/p_e/ISpdz9ism9me8d1000000000.jpg	113000.0	[]	1651.0	NC	153046.0	28615	114783348
1.0	3	Creston	[u'Lot: 0.63 acres', u'Single Family', u'Built in 1960', u'All time views: 1,645', u'Last sold: Mar 2015 for $36,000', u'Last sale price/sqft: $27', u'Floor size: 1,352 sqft', u'Parcel #: 03080-045', u'Zillow Home ID: 114792782']	http://photos3.zillowstatic.com/p_e/ISt8ychp98f2ro1000000000.jpg	36000.0	[]	1352.0	NC	138546.0	28615	114792782
3.0	3	Creston	[u'Lot: 19.48 acres', u'Single Family', u'Built in 1988', u'All time views: 1,451', u'Last sold: Jan 2015 for $420,000', u'Last sale price/sqft: $208', u'Floor size: 2,023 sqft', u'Parcel #: 11030-223', u'Zillow Home ID: 114783384']	http://photos1.zillowstatic.com/p_e/IS995v9yaxs6rs0000000000.jpg	420000.0	[]	2023.0	NC	278910.0	28615	114783384
1.0	2	Creston	[u'Lot: 2 acres', u'Single Family', u'Built in 1952', u'All time views: 866', u'Last sold: Jan 2015 for $107,000', u'Last sale price/sqft: $121', u'Floor size: 887 sqft', u'Parcel #: 11084-020', u'Zillow Home ID: 114783637']	http://photos1.zillowstatic.com/p_e/IS9p9poubemfm50000000000.jpg	107000.0	[]	887.0	NC	142486.0	28615	114783637
2.5	3	Creston	[u'Baths: 2 full, 1 half', u'Lot: 19.08 acres', u'Single Family', u'Built in 2007', u'98 days on Zillow', u'Views since listing: 1,086', u'All time views: 1,200', u'8 shoppers saved this home', u'Heating: Heat pump', u'Last sold: Jun 2014 for $322,500', u'Last sale price/sqft: $104', u'MLS #: 39202053', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Porch', u'View: Mountain', u'Waterfront', u'Style: Mountain', u'Appliances: Exhaust Fan', u'Amenities: Other-See Remarks', u'Road: State Maintained Paved', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Amenities: Whirl Pool Tub', u'Heat: C', u'Zoning: None', u'Garage: 1 Car', u'Amenities: Pasture', u'Garage: 3+ Car', u'Amenities: Outbuilding', u'Amenities: Short Term Rental Permitted', u'Garage: Other-See Remarks', u'Amenities: Long Term Rental Permitted', u'Amenities: Horses Permitted', u'Hot Water: Tankless-Gas', u'Garage: Oversized', u'Roof: Architectural Shingle', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Creek', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Stone, Vinyl', u'Structure type: Contemporary', u'Floor size: 3,098 sqft', u'Heating: Gas', u'Parcel #: 03084-063', u'Zillow Home ID: 114792788']	http://photos3.zillowstatic.com/p_e/ISx70pwgxnrhg20000000000.jpg	322500.0	[]	3098.0	NC	557069.0	28615	114792788
2.0	3	Creston	[u'Lot: 0.56 acres', u'Single Family', u'Built in 1996', u'All time views: 487', u'Last sold: Dec 2015 for $29,500', u'Last sale price/sqft: $20', u'Floor size: 1,512 sqft', u'Parcel #: 03084-183', u'Zillow Home ID: 114792741']	http://photos2.zillowstatic.com/p_e/ISdw9l8wxfkz390000000000.jpg	29500.0	[]	1512.0	NC	123858.0	28615	114792741
1.0	3	Creston	[u'Lot: 25.19 acres', u'Single Family', u'All time views: 3,859', u'Last sold: Dec 2015 for $140,000', u'Last sale price/sqft: $143', u'Floor size: 980 sqft', u'Zillow Home ID: 2101816673']	http://photos1.zillowstatic.com/p_e/IS13zbbjydi0r70000000000.jpg	140000.0	[]	980.0	NC	132931.0	28615	2101816673
2.0	3	Creston	[u'Lot: 5.32 acres', u'Single Family', u'Built in 1999', u'All time views: 1,995', u'Last sold: Oct 2015 for $132,000', u'Last sale price/sqft: $87', u'Floor size: 1,521 sqft', u'Zillow Home ID: 2101763875']	http://photos1.zillowstatic.com/p_e/IS9hr10v2pacig1000000000.jpg	132000.0	[]	1521.0	NC	155266.0	28615	2101763875
