baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Sealevel	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2009', u'All time views: 4,999', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Dec 2015 for $110,000', u'Last sale price/sqft: $70', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic: Floored', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'CommunityType: None', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'None', u'Driveway: Dirt', u'Other-See Remarks', u'Zoning: Residential', u'Fireplace: Other-See Remarks', u'WindowTreatments: Some Blinds', u'Schools: Carteret County Schools', u'Appliances: None', u'AirConditioning: None', u'Heating: None', u'Water: Existing Well', u'Attic: Permanent Stairs', u'Area: DOWN EAST', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,568 sqft', u'Last remodel year: 2009', u'Laundry: Shared', u'Lot depth: 171 ft', u'Lot width: 139 ft', u'Parcel #: 748101354351000', u'Zillow Home ID: 119166364']	http://photos1.zillowstatic.com/p_e/ISdseak43pofjy0000000000.jpg	110000.0	[]	1568.0	NC	108608.0	28577	119166364
2.0	3	Sealevel	[u'Lot: 4.2 acres', u'Single Family', u'Built in 1993', u'204 days on Zillow', u'Views since listing: 4,321', u'All time views: 7,065', u'70 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2014 for $68,250', u'Last sale price/sqft: $38', u'MLS #: 100001664', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Fencing: None', u'Foundation: Crawl Space', u'Roof: Shingle', u'Location Type: Mainland', u'Road Type: Paved', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dishwasher', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,808 sqft', u'Last remodel year: 1993', u'Parcel #: 748101267460000', u'Zillow Home ID: 101998463']	http://photos3.zillowstatic.com/p_e/ISin92k3ucvyoe1000000000.jpg	68250.0	[]	1808.0	NC	139385.0	28577	101998463
2.0	3	Sealevel	[u'Lot: 1.14 acres', u'Single Family', u'Built in 2004', u'All time views: 3,827', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $345,000', u'Last sale price/sqft: $157', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'View: Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 3', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Last remodel year: 2004', u'Lot depth: 256 ft', u'Lot width: 209 ft', u'Parcel #: 748102990444000', u'Zillow Home ID: 102084328']	http://photos2.zillowstatic.com/p_e/ISd4gfeccdktvl0000000000.jpg	345000.0	[]	2200.0	NC	367588.0	28577	102084328
2.0	3	Sealevel	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2009', u'All time views: 4,993', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Dec 2015 for $110,000', u'Last sale price/sqft: $70', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic: Floored', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'CommunityType: None', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'None', u'Driveway: Dirt', u'Other-See Remarks', u'Zoning: Residential', u'Fireplace: Other-See Remarks', u'WindowTreatments: Some Blinds', u'Schools: Carteret County Schools', u'Appliances: None', u'AirConditioning: None', u'Heating: None', u'Water: Existing Well', u'Attic: Permanent Stairs', u'Area: DOWN EAST', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,568 sqft', u'Last remodel year: 2009', u'Laundry: Shared', u'Lot depth: 171 ft', u'Lot width: 139 ft', u'Parcel #: 748101354351000', u'Zillow Home ID: 119166364']	http://photos1.zillowstatic.com/p_e/ISdseak43pofjy0000000000.jpg	110000.0	[]	1568.0	NC	108608.0	28577	119166364
2.0	3	Sealevel	[u'Lot: 4.2 acres', u'Single Family', u'Built in 1993', u'204 days on Zillow', u'Views since listing: 4,319', u'All time views: 7,064', u'70 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2014 for $68,250', u'Last sale price/sqft: $38', u'MLS #: 100001664', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Fencing: None', u'Foundation: Crawl Space', u'Roof: Shingle', u'Location Type: Mainland', u'Road Type: Paved', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dishwasher', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,808 sqft', u'Last remodel year: 1993', u'Parcel #: 748101267460000', u'Zillow Home ID: 101998463']	http://photos3.zillowstatic.com/p_e/ISin92k3ucvyoe1000000000.jpg	68250.0	[]	1808.0	NC	139385.0	28577	101998463
2.0	3	Sealevel	[u'Lot: 1.14 acres', u'Single Family', u'Built in 2004', u'All time views: 3,829', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $345,000', u'Last sale price/sqft: $157', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'View: Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 3', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Last remodel year: 2004', u'Lot depth: 256 ft', u'Lot width: 209 ft', u'Parcel #: 748102990444000', u'Zillow Home ID: 102084328']	http://photos2.zillowstatic.com/p_e/ISd4gfeccdktvl0000000000.jpg	345000.0	[]	2200.0	NC	367588.0	28577	102084328
2.0	3	Sealevel	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2009', u'All time views: 4,992', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Dec 2015 for $110,000', u'Last sale price/sqft: $70', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic: Floored', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'CommunityType: None', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'None', u'Driveway: Dirt', u'Other-See Remarks', u'Zoning: Residential', u'Fireplace: Other-See Remarks', u'WindowTreatments: Some Blinds', u'Schools: Carteret County Schools', u'Appliances: None', u'AirConditioning: None', u'Heating: None', u'Water: Existing Well', u'Attic: Permanent Stairs', u'Area: DOWN EAST', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,568 sqft', u'Last remodel year: 2009', u'Laundry: Shared', u'Lot depth: 171 ft', u'Lot width: 139 ft', u'Parcel #: 748101354351000', u'Zillow Home ID: 119166364']	http://photos1.zillowstatic.com/p_e/ISdseak43pofjy0000000000.jpg	110000.0	[]	1568.0	NC	108608.0	28577	119166364
2.0	3	Sealevel	[u'Lot: 4.2 acres', u'Single Family', u'Built in 1993', u'204 days on Zillow', u'Views since listing: 4,320', u'All time views: 7,066', u'70 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2014 for $68,250', u'Last sale price/sqft: $38', u'MLS #: 100001664', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Fencing: None', u'Foundation: Crawl Space', u'Roof: Shingle', u'Location Type: Mainland', u'Road Type: Paved', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dishwasher', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,808 sqft', u'Last remodel year: 1993', u'Parcel #: 748101267460000', u'Zillow Home ID: 101998463']	http://photos3.zillowstatic.com/p_e/ISin92k3ucvyoe1000000000.jpg	68250.0	[]	1808.0	NC	139385.0	28577	101998463
2.0	3	Sealevel	[u'Lot: 1.14 acres', u'Single Family', u'Built in 2004', u'All time views: 3,832', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $345,000', u'Last sale price/sqft: $157', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'View: Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 3', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Last remodel year: 2004', u'Lot depth: 256 ft', u'Lot width: 209 ft', u'Parcel #: 748102990444000', u'Zillow Home ID: 102084328']	http://photos2.zillowstatic.com/p_e/ISd4gfeccdktvl0000000000.jpg	345000.0	[]	2200.0	NC	367588.0	28577	102084328
2.0	3	Sealevel	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2009', u'All time views: 4,995', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Dec 2015 for $110,000', u'Last sale price/sqft: $70', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic: Floored', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'CommunityType: None', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'None', u'Driveway: Dirt', u'Other-See Remarks', u'Zoning: Residential', u'Fireplace: Other-See Remarks', u'WindowTreatments: Some Blinds', u'Schools: Carteret County Schools', u'Appliances: None', u'AirConditioning: None', u'Heating: None', u'Water: Existing Well', u'Attic: Permanent Stairs', u'Area: DOWN EAST', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,568 sqft', u'Last remodel year: 2009', u'Laundry: Shared', u'Lot depth: 171 ft', u'Lot width: 139 ft', u'Parcel #: 748101354351000', u'Zillow Home ID: 119166364']	http://photos1.zillowstatic.com/p_e/ISdseak43pofjy0000000000.jpg	110000.0	[]	1568.0	NC	108608.0	28577	119166364
2.0	3	Sealevel	[u'Lot: 4.2 acres', u'Single Family', u'Built in 1993', u'204 days on Zillow', u'Views since listing: 4,328', u'All time views: 7,075', u'70 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2014 for $68,250', u'Last sale price/sqft: $38', u'MLS #: 100001664', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Fencing: None', u'Foundation: Crawl Space', u'Roof: Shingle', u'Location Type: Mainland', u'Road Type: Paved', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dishwasher', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,808 sqft', u'Last remodel year: 1993', u'Parcel #: 748101267460000', u'Zillow Home ID: 101998463']	http://photos3.zillowstatic.com/p_e/ISin92k3ucvyoe1000000000.jpg	68250.0	[]	1808.0	NC	139385.0	28577	101998463
2.0	3	Sealevel	[u'Lot: 1.14 acres', u'Single Family', u'Built in 2004', u'All time views: 3,831', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $345,000', u'Last sale price/sqft: $157', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'View: Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 3', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Last remodel year: 2004', u'Lot depth: 256 ft', u'Lot width: 209 ft', u'Parcel #: 748102990444000', u'Zillow Home ID: 102084328']	http://photos2.zillowstatic.com/p_e/ISd4gfeccdktvl0000000000.jpg	345000.0	[]	2200.0	NC	367588.0	28577	102084328
2.0	3	Sealevel	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2009', u'All time views: 5,006', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Dec 2015 for $110,000', u'Last sale price/sqft: $70', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic: Floored', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'CommunityType: None', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'None', u'Driveway: Dirt', u'Other-See Remarks', u'Zoning: Residential', u'Fireplace: Other-See Remarks', u'WindowTreatments: Some Blinds', u'Schools: Carteret County Schools', u'Appliances: None', u'AirConditioning: None', u'Heating: None', u'Water: Existing Well', u'Attic: Permanent Stairs', u'Area: DOWN EAST', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,568 sqft', u'Last remodel year: 2009', u'Laundry: Shared', u'Lot depth: 171 ft', u'Lot width: 139 ft', u'Parcel #: 748101354351000', u'Zillow Home ID: 119166364']	http://photos1.zillowstatic.com/p_e/ISdseak43pofjy0000000000.jpg	110000.0	[]	1568.0	NC	108608.0	28577	119166364
2.0	3	Sealevel	[u'Lot: 4.2 acres', u'Single Family', u'Built in 1993', u'204 days on Zillow', u'Views since listing: 4,334', u'All time views: 7,080', u'70 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2014 for $68,250', u'Last sale price/sqft: $38', u'MLS #: 100001664', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Fencing: None', u'Foundation: Crawl Space', u'Roof: Shingle', u'Location Type: Mainland', u'Road Type: Paved', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dishwasher', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,808 sqft', u'Last remodel year: 1993', u'Parcel #: 748101267460000', u'Zillow Home ID: 101998463']	http://photos3.zillowstatic.com/p_e/ISin92k3ucvyoe1000000000.jpg	68250.0	[]	1808.0	NC	139385.0	28577	101998463
2.0	3	Sealevel	[u'Lot: 1.14 acres', u'Single Family', u'Built in 2004', u'All time views: 3,842', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $345,000', u'Last sale price/sqft: $157', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'View: Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 3', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Last remodel year: 2004', u'Lot depth: 256 ft', u'Lot width: 209 ft', u'Parcel #: 748102990444000', u'Zillow Home ID: 102084328']	http://photos2.zillowstatic.com/p_e/ISd4gfeccdktvl0000000000.jpg	345000.0	[]	2200.0	NC	367588.0	28577	102084328
2.0	3	Sealevel	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2009', u'All time views: 5,007', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Dec 2015 for $110,000', u'Last sale price/sqft: $70', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic: Floored', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'CommunityType: None', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'None', u'Driveway: Dirt', u'Other-See Remarks', u'Zoning: Residential', u'Fireplace: Other-See Remarks', u'WindowTreatments: Some Blinds', u'Schools: Carteret County Schools', u'Appliances: None', u'AirConditioning: None', u'Heating: None', u'Water: Existing Well', u'Attic: Permanent Stairs', u'Area: DOWN EAST', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,568 sqft', u'Last remodel year: 2009', u'Laundry: Shared', u'Lot depth: 171 ft', u'Lot width: 139 ft', u'Parcel #: 748101354351000', u'Zillow Home ID: 119166364']	http://photos1.zillowstatic.com/p_e/ISdseak43pofjy0000000000.jpg	110000.0	[]	1568.0	NC	108608.0	28577	119166364
2.0	3	Sealevel	[u'Lot: 4.2 acres', u'Single Family', u'Built in 1993', u'204 days on Zillow', u'Views since listing: 4,339', u'All time views: 7,083', u'70 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2014 for $68,250', u'Last sale price/sqft: $38', u'MLS #: 100001664', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Fencing: None', u'Foundation: Crawl Space', u'Roof: Shingle', u'Location Type: Mainland', u'Road Type: Paved', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dishwasher', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,808 sqft', u'Last remodel year: 1993', u'Parcel #: 748101267460000', u'Zillow Home ID: 101998463']	http://photos3.zillowstatic.com/p_e/ISin92k3ucvyoe1000000000.jpg	68250.0	[]	1808.0	NC	139385.0	28577	101998463
2.0	3	Sealevel	[u'Lot: 1.14 acres', u'Single Family', u'Built in 2004', u'All time views: 3,840', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $345,000', u'Last sale price/sqft: $157', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'View: Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 3', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Last remodel year: 2004', u'Lot depth: 256 ft', u'Lot width: 209 ft', u'Parcel #: 748102990444000', u'Zillow Home ID: 102084328']	http://photos2.zillowstatic.com/p_e/ISd4gfeccdktvl0000000000.jpg	345000.0	[]	2200.0	NC	367588.0	28577	102084328
2.0	3	Sealevel	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2009', u'All time views: 5,009', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Dec 2015 for $110,000', u'Last sale price/sqft: $70', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic: Floored', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'CommunityType: None', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'None', u'Driveway: Dirt', u'Other-See Remarks', u'Zoning: Residential', u'Fireplace: Other-See Remarks', u'WindowTreatments: Some Blinds', u'Schools: Carteret County Schools', u'Appliances: None', u'AirConditioning: None', u'Heating: None', u'Water: Existing Well', u'Attic: Permanent Stairs', u'Area: DOWN EAST', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,568 sqft', u'Last remodel year: 2009', u'Laundry: Shared', u'Lot depth: 171 ft', u'Lot width: 139 ft', u'Parcel #: 748101354351000', u'Zillow Home ID: 119166364']	http://photos1.zillowstatic.com/p_e/ISdseak43pofjy0000000000.jpg	110000.0	[]	1568.0	NC	108608.0	28577	119166364
2.0	3	Sealevel	[u'Lot: 4.2 acres', u'Single Family', u'Built in 1993', u'204 days on Zillow', u'Views since listing: 4,334', u'All time views: 7,079', u'70 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2014 for $68,250', u'Last sale price/sqft: $38', u'MLS #: 100001664', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Fencing: None', u'Foundation: Crawl Space', u'Roof: Shingle', u'Location Type: Mainland', u'Road Type: Paved', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dishwasher', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,808 sqft', u'Last remodel year: 1993', u'Parcel #: 748101267460000', u'Zillow Home ID: 101998463']	http://photos3.zillowstatic.com/p_e/ISin92k3ucvyoe1000000000.jpg	68250.0	[]	1808.0	NC	139385.0	28577	101998463
2.0	3	Sealevel	[u'Lot: 1.14 acres', u'Single Family', u'Built in 2004', u'All time views: 3,843', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $345,000', u'Last sale price/sqft: $157', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'View: Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 3', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Last remodel year: 2004', u'Lot depth: 256 ft', u'Lot width: 209 ft', u'Parcel #: 748102990444000', u'Zillow Home ID: 102084328']	http://photos2.zillowstatic.com/p_e/ISd4gfeccdktvl0000000000.jpg	345000.0	[]	2200.0	NC	367588.0	28577	102084328
2.0	3	Sealevel	[u'Lot: 0.55 acres', u'Single Family', u'Built in 2009', u'All time views: 5,004', u'Cooling: None', u'Heating: Heat pump', u'Last sold: Dec 2015 for $110,000', u'Last sale price/sqft: $70', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Attic: Floored', u'Bedroom 1 Level: 1', u'Bedroom 2 Level: 1', u'CommunityType: None', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'None', u'Driveway: Dirt', u'Other-See Remarks', u'Zoning: Residential', u'Fireplace: Other-See Remarks', u'WindowTreatments: Some Blinds', u'Schools: Carteret County Schools', u'Appliances: None', u'AirConditioning: None', u'Heating: None', u'Water: Existing Well', u'Attic: Permanent Stairs', u'Area: DOWN EAST', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 1,568 sqft', u'Last remodel year: 2009', u'Laundry: Shared', u'Lot depth: 171 ft', u'Lot width: 139 ft', u'Parcel #: 748101354351000', u'Zillow Home ID: 119166364']	http://photos1.zillowstatic.com/p_e/ISdseak43pofjy0000000000.jpg	110000.0	[]	1568.0	NC	108608.0	28577	119166364
2.0	3	Sealevel	[u'Lot: 4.2 acres', u'Single Family', u'Built in 1993', u'204 days on Zillow', u'Views since listing: 4,337', u'All time views: 7,081', u'70 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2014 for $68,250', u'Last sale price/sqft: $38', u'MLS #: 100001664', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Fencing: None', u'Foundation: Crawl Space', u'Roof: Shingle', u'Location Type: Mainland', u'Road Type: Paved', u'Parking: Dirt', u'Fuel Tank: None', u'Flood Zone: Yes', u'None', u'List Office Board Code: Carteret County Association of Realtors', u'Dishwasher', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,808 sqft', u'Last remodel year: 1993', u'Parcel #: 748101267460000', u'Zillow Home ID: 101998463']	http://photos3.zillowstatic.com/p_e/ISin92k3ucvyoe1000000000.jpg	68250.0	[]	1808.0	NC	139385.0	28577	101998463
2.0	3	Sealevel	[u'Lot: 1.14 acres', u'Single Family', u'Built in 2004', u'All time views: 3,839', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $345,000', u'Last sale price/sqft: $157', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'View: Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 3', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,200 sqft', u'Last remodel year: 2004', u'Lot depth: 256 ft', u'Lot width: 209 ft', u'Parcel #: 748102990444000', u'Zillow Home ID: 102084328']	http://photos2.zillowstatic.com/p_e/ISd4gfeccdktvl0000000000.jpg	345000.0	[]	2200.0	NC	367588.0	28577	102084328
