baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
5.0	4	Battleboro	[u'Baths: 4 full, 1 half', u'Lot: 3.62 acres', u'Single Family', u'Built in 2004', u'All time views: 3,008', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2015 for $300,000', u'Last sale price/sqft: $80', u'Cable Ready', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Mother-in-Law Apartment', u'Parking: Garage - Attached, Garage - Detached, 4 spaces', u'Porch', u'Security System', u'Vaulted Ceiling', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'Reservoir: None', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Electricity: City of Rocky Mount', u'Rooms: Master Bedroom 1st Level', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Up', u'Roof: Vinyl Clad', u'A: C-Up', u'Roof: Fold In or Out', u'Water: Well Water', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Garage: None-Carport', u'Rooms: Great Room', u'Rooms: Utility Room', u'Miscellaneous: County', u'Open Foyer', u'Fencing: None', u'Gravel Drive', u'Underground Utilities', u'Cul-de-Sac', u'Trash: Private Service', u'Precautions: Above Ground Tank', u'Ownership: Bank Owned', u'Rooms: Bonus Room', u'Electricity: LP Gas', u'Rooms: Apt', u'Subdivision: BYNUM CHASE', u'Dishwasher', u'Microwave', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Composition', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 3,757 sqft', u'Heating: Gas', u'Parcel #: 383400-70-6590', u'Zillow Home ID: 74998475']	http://photos3.zillowstatic.com/p_e/ISla6i5qonxl9h0000000000.jpg	300000.0	[]	3757.0	NC	377665.0	27809	74998475
1.5	3	Battleboro	[u'Lot: 1.19 acres', u'Single Family', u'Built in 1974', u'All time views: 1,570', u'Cooling: Other', u'Heating: Baseboard', u'Last sold: Nov 2015 for $75,000', u'Last sale price/sqft: $67', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet', u'Parking: Carport', u'partially fenced yard', u'utility room under carport and storage building', u'Range / Oven', u'Family room', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,113 sqft', u'Heating: Electric', u'Parcel #: 383300-17-4205', u'Zillow Home ID: 74998244']	http://photos3.zillowstatic.com/p_e/IS52lba5wrnk830000000000.jpg	75000.0	[]	1113.0	NC	118321.0	27809	74998244
2.0	3	Battleboro	[u'Lot: 1.1 acres', u'Single Family', u'Built in 2012', u'All time views: 1,870', u'Heating: Heat pump', u'Last sold: Aug 2016 for $217,900', u'Last sale price/sqft: $119', u'Deck', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile, Other', u'Garden', u'Parking: Garage - Attached', u'Porch', u'Security System', u'Type: One Story', u'Basement: Crawlspace', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Vinyl Clad', u'Roof: Fold In or Out', u'Water: Well Water', u'Water: Septic Tank', u'Electricity: Progress', u'Rooms: Great Room', u'Rooms: Utility Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Open Foyer', u'Garage Door Opener', u'Miscellaneous: USDA Qualified', u'Fencing: None', u'Garden Tub', u'Gas Logs', u'Energy Efficient', u'Attic: Permanent Stairs', u'Underground Utilities', u'Cul-de-Sac', u'Trash: Private Service', u'Association Dues: Grass In Common Area', u'Association Dues: Subdivision Entrance', u'Roof: Dimensional', u'Trey Ceilings', u'Rooms: Split Bedroom', u'Attic: Expandable', u'Advanced Framing', u'Low-e Windows', u'Foil Back Roof Sheeting', u'Rooms: 2nd Floor Unfinished', u'Subdivision: CHESNEY GLEN', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,826 sqft', u'Zillow Home ID: 2098470548']	http://photos1.zillowstatic.com/p_e/ISdo3z8yn3nnkv1000000000.jpg	217900.0	[]	1826.0	NC	202610.0	27809	2098470548
2.0	3	Battleboro	[u'Lot: 0.96 acres', u'Single Family', u'Built in 1996', u'All time views: 212', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $146,000', u'Last sale price/sqft: $111', u'Cable Ready', u'Deck', u'Flooring: Carpet, Hardwood, Laminate, Tile, Other', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Vaulted Ceiling', u'Type: One Story', u'Fuel-Dn: Gas-Down', u'Water: City Water', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Type: Ranch', u'Construction: Vinyl Trim', u'Precautions: None Known', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Type: Residential', u'Fencing: Chain Link', u'Rooms: Master Bedroom 1st Level', u'Workshop', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Attic: Pull-down Stairs', u'Water: Septic Tank', u'Electricity: Progress', u'Rooms: Great Room', u'Miscellaneous: County', u'Vacuum System', u'Miscellaneous: USDA Qualified', u'Gas Logs', u'Trash: Private Service', u'Precautions: Above Ground Tank', u'Electricity: LP Gas', u'Precautions: Buried Tank not in Use', u'Above Ground Pool', u'Property Status: Cont', u'Subdivision: SANDY PINE', u'Dishwasher', u'Range / Oven', u'Walk-in closet', u'Exterior material: Cement concrete', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,317 sqft', u'Heating: Gas', u'Parcel #: 383300-44-1689', u'Zillow Home ID: 93052431']	http://photos3.zillowstatic.com/p_e/ISliwvb3zt3iz21000000000.jpg	146000.0	[]	1317.0	NC	144530.0	27809	93052431
2.0	3	Battleboro	[u'Lot: 0.33 acres', u'Single Family', u'Built in 1974', u'All time views: 854', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $118,500', u'Last sale price/sqft: $75', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Type: One Story', u'Construction: Siding-Wood', u'Fuel-Dn: Gas-Down', u'Water: City Water', u'Water: City Sewer', u'Basement: Crawlspace', u'Fencing: Partial', u'Rooms: Living Room', u'Type: Ranch', u'Construction: Brick', u'Miscellaneous: City', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Electricity: Natural Gas Rocky Mount', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Precautions: Lead Paint (pre 1978)', u'Roof: Fold In or Out', u'Rooms: Bedroom on 1st Floor', u'Open Foyer', u'Built-in Bookcases', u'Gravel Drive', u'Appliances: Cook Top', u'Roof: Vinyl Replaced', u'Attic: Other-See Remarks', u'Appliances: Wall Oven', u'Fuel-Dn: Wood-Down', u'Electricity: Dominion', u'Subdivision: HILLSIDE', u'Dishwasher', u'Trash compactor', u'Dining room', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,581 sqft', u'Heating: Gas', u'Parcel #: 386308-87-1814', u'Zillow Home ID: 93054487']	http://photos2.zillowstatic.com/p_e/IShjezxulq7vy90000000000.jpg	118500.0	[]	1581.0	NC	118338.0	27809	93054487
2.0	3	Battleboro	[u'Single Family', u'Built in 1993', u'All time views: 1,447', u'Heating: Heat pump', u'Last sold: Jun 2016 for $88,500', u'Last sale price/sqft: $50', u'Cable Ready', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl, Other', u'Garden', u'Parking: Garage - Attached', u'Porch', u'Type: One Story', u'Basement: Crawlspace', u'Rooms: Living Room', u'Rooms: Eat-in', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Storage Building Detached', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Water: Well Water', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Electricity: Progress', u'Rooms: Den', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Built-in Bookcases', u'Fencing: None', u'Gravel Drive', u'Garden Tub', u'Work Island', u'Cul-de-Sac', u'Trash: Private Service', u'Attic: None', u'Rooms: Split Bedroom', u'Type: Mobile Home Double', u'Secluded Lot', u'Subdivision: DEAN HEIGHTS', u'Dishwasher', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,782 sqft', u'Zillow Home ID: 2099509011']	http://photos1.zillowstatic.com/p_e/IS1jj69bq4vah60000000000.jpg	88500.0	[]	1782.0	NC	96696.0	27809	2099509011
3.0	3	Battleboro	[u'Lot: 0.71 acres', u'Single Family', u'Built in 2001', u'All time views: 1,817', u'HOA Fee: $10/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $253,200', u'Last sale price/sqft: $102', u'Cable Ready', u'Flooring: Hardwood, Tile', u'Garden', u'Parking: Garage - Attached, Garage - Detached', u'Porch', u'Security System', u'Vaulted Ceiling', u'Fuel-Dn: Gas-Down', u'Basement: None', u'Basement: Crawlspace', u'Fencing: Wire', u'Rooms: Eat-in', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Storage Building Detached', u'Workshop', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Roof: Insulated', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Electricity: Progress', u'Rooms: Great Room', u'Rooms: Utility Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Open Foyer', u'Built-in Bookcases', u'Miscellaneous: USDA Qualified', u'Gas Logs', u'Underground Utilities', u'Trash: Private Service', u'Miscellaneous: Community Association', u'Association Dues: Grass In Common Area', u'Rooms: Bonus Room', u'Whirlpool Bath', u'Association Dues: Subdivision Entrance', u'Rooms: Split Bedroom', u'Precautions: Buried Tank In Use', u'Water: Community Water System', u'Subdivision: SHEPHERDS WAY', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Structure type: Cape cod', u'Floor size: 2,482 sqft', u'Heating: Gas', u'Parcel #: 382300-74-8568', u'Zillow Home ID: 74996005']	http://photos3.zillowstatic.com/p_e/ISl2wkircvibqm0000000000.jpg	253200.0	[]	2482.0	NC	246250.0	27809	74996005
3.0	3	Battleboro	[u'Lot: 0.75 acres', u'Single Family', u'Built in 2008', u'All time views: 5,676', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $272,000', u'Last sale price/sqft: $79', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached', u'Porch', u'Wet Bar', u'Basement: None', u'Basement: Crawlspace', u'Fencing: Partial', u'Rooms: Eat-in', u'Construction: Brick', u'Precautions: None Known', u'Reservoir: None', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Storage Building Detached', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Attic: Eve Storage', u'Attic: Walk-in Storage', u'Electricity: Progress', u'Rooms: Great Room', u'Rooms: Utility Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Open Foyer', u'Garage Door Opener', u'Miscellaneous: USDA Qualified', u'Fencing: Wood', u'Gas Logs', u'Energy Efficient', u'Underground Utilities', u'Association Dues: Grass In Common Area', u'Association Dues: Real Property Tax on Common Area', u'Rooms: Bonus Room', u'Whirlpool Bath', u'Association Dues: Subdivision Entrance', u'Association Dues: Insurance in Common Area', u'Trey Ceilings', u'Granite', u'Ownership: Relocation Company Involved', u'Subdivision: RED OAK PLANTATION', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,461 sqft', u'Heating: Electric', u'Parcel #: 382300-84-9305', u'Zillow Home ID: 111323702']	http://photos1.zillowstatic.com/p_e/ISpdbbr9zcell30000000000.jpg	272000.0	[]	3461.0	NC	260075.0	27809	111323702
2.0	3	Battleboro	[u'Lot: 1.48 acres', u'Single Family', u'Built in 2002', u'All time views: 1,118', u'Heating: Forced air', u'Last sold: May 2016 for $19,000', u'Last sale price/sqft: $17', u'Fireplace', u'Flooring: Carpet', u'Garden', u'Porch', u'Type: One Story', u'Garage: None-Garage', u'Basement: None', u'Rooms: Living Room', u'Rooms: Eat-in', u'None', u'Roof: Other Windows-See Remarks', u'Precautions: None Known', u'Reservoir: None', u'A: C Down', u'Property Status: Active', u'Property Type: Residential', u'Appliances: None', u'County: Edgecombe', u'Rooms: Master Bedroom 1st Level', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Garage: None-Carport', u'Rooms: Utility Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Fencing: None', u'Gravel Drive', u'Water: County Water', u'Ownership: Bank Owned', u'Attic: None', u'Electricity: Martin', u'Type: Mobile Home Double', u'Subdivision: POLK PLANTATION', u'Trash compactor', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,088 sqft', u'Last remodel year: 2002', u'Parcel #: 480170549900', u'Zillow Home ID: 68679060']	http://photos2.zillowstatic.com/p_e/IS17y9gazjmm1x0000000000.jpg	19000.0	[]	1088.0	NC	57850.0	27809	68679060
3.0	3	Battleboro	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2007', u'All time views: 4,429', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: May 2016 for $258,000', u'Last sale price/sqft: $91', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 420 sqft garage', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Construction: Brick', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Water: Well Water', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Electricity: Progress', u'Garage: None-Carport', u'Fencing: Rear Only', u'Rooms: Great Room', u'Rooms: Utility Room', u'Rooms: Bedroom on 1st Floor', u'Miscellaneous: County', u'Open Foyer', u'Garage Door Opener', u'Miscellaneous: USDA Qualified', u'Fencing: Wood', u'Gas Logs', u'Storage Building Attached', u'Underground Utilities', u'Trash: Private Service', u'Rooms: Bonus Room', u'Whirlpool Bath', u'Association Dues: Subdivision Entrance', u'Rooms: Split Bedroom', u'Association Dues: Other-See Remarks', u'Subdivision: CHESNEY GLEN', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 9', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 2,832 sqft', u'Heating: Electric', u'Last remodel year: 2011', u'Parcel #: 383309-16-1541', u'Zillow Home ID: 111324144']	http://photos3.zillowstatic.com/p_e/IShbwjzsihph2v0000000000.jpg	258000.0	[]	2832.0	NC	258294.0	27809	111324144
2.0	3	Battleboro	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2007', u'All time views: 1,874', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $190,000', u'Last sale price/sqft: $97', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Basement: Crawlspace', u'Rooms: Living Room', u'Rooms: Eat-in', u'Precautions: None Known', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Water: Well Water', u'Water: Septic Tank', u'Electricity: Progress', u'Rooms: Great Room', u'Miscellaneous: Warranty Program', u'Rooms: Utility Room', u'Miscellaneous: County', u'Miscellaneous: USDA Qualified', u'Fencing: Wood', u'Gas Logs', u'Attic: Floored', u'Trash: Private Service', u'Attic: Expandable', u'Subdivision: CHESNEY GLEN', u'Dishwasher', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Floor size: 1,958 sqft', u'Parcel #: 383309-16-4823', u'Zillow Home ID: 111324150']	http://photos3.zillowstatic.com/p_e/IStg8unsp0y0ja1000000000.jpg	190000.0	[]	1958.0	NC	194770.0	27809	111324150
2.0	4	Battleboro	[u'Lot: 0.41 acres', u'Single Family', u'Built in 1974', u'All time views: 2,787', u'Cooling: Central', u'Heating: Other', u'Last sold: Apr 2016 for $50,000', u'Last sale price/sqft: $26', u'Fireplace', u'Flooring: Hardwood, Other', u'Parking: Garage - Attached', u'Porch', u'Security System', u'Type: One Story', u'Water: City Water', u'Water: City Sewer', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'Construction: Brick', u'Miscellaneous: City', u'Roof: Other Windows-See Remarks', u'Reservoir: None', u'Ownership: Individual', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Appliances: None', u'Rooms: Master Bedroom 1st Level', u'Precautions: Lead Paint (pre 1978)', u'Heating-Dn: None Up', u'A: None-Up', u'Rooms: Utility Room', u'Built-in Bookcases', u'Fencing: None', u'Gas Logs', u'Electricity: Bottled Gas', u'Dirt Drive', u'Subdivision: HILLSIDE', u'Trash compactor', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,935 sqft', u'Heating: Gas', u'Parcel #: 386308-87-4889', u'Zillow Home ID: 93054490']	http://photos3.zillowstatic.com/p_e/IStoatepdo4th80000000000.jpg	50000.0	[]	1935.0	NC	123025.0	27809	93054490
3.5	4	Battleboro	[u'Baths: 3 full, 1 half', u'Lot: 1.68 acres', u'Single Family', u'Built in 2005', u'All time views: 3,093', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Apr 2016 for $250,100', u'Last sale price/sqft: $74', u'Cable Ready', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Fuel-Dn: Gas-Down', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Construction: Brick', u'Construction: Vinyl Trim', u'Reservoir: None', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Electricity: City of Rocky Mount', u'Type: Traditional', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Up', u'Roof: Vinyl Clad', u'A: C-Up', u'Roof: Fold In or Out', u'Attic: Pull-down Stairs', u'Water: Well Water', u'Water: Septic Tank', u'Garage: None-Carport', u'Rooms: Great Room', u'Rooms: Utility Room', u'Miscellaneous: County', u'Garage Door Opener', u'Miscellaneous: USDA Qualified', u'Fencing: None', u'Gas Logs', u'Underground Utilities', u'Cul-de-Sac', u'Trash: Private Service', u'Rooms: Bonus Room', u'Electricity: LP Gas', u'Granite', u'Tankless Water Heater', u'Precautions: Buried Tank In Use', u'Subdivision: BROOKESIDE', u'Ownership: Relocation Company Involved', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Office', u'Walk-in closet', u'Exterior material: Cement concrete', u'Foundation type: Other', u'Roof type: Composition', u'Stories: 0', u'Floor size: 3,375 sqft', u'Heating: Gas', u'Parcel #: 383400-43-9673', u'Zillow Home ID: 74998432']	http://photos2.zillowstatic.com/p_e/IShjy6xygakybl0000000000.jpg	250100.0	[]	3375.0	NC	260586.0	27809	74998432
2.5	3	Battleboro	[u'Baths: 2 full, 1 half', u'Lot: 0.74 acres', u'Single Family', u'Built in 2006', u'All time views: 3,559', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $213,000', u'Last sale price/sqft: $96', u'Deck', u'Flooring: Hardwood', u'Parking: Garage - Attached', u'Porch', u'Basement: Crawlspace', u'Rooms: Living Room', u'Construction: Brick', u'Precautions: None Known', u'Reservoir: None', u'A: C Down', u'County: Nash', u'Property Type: Residential', u'Appliances: None', u'Rooms: Master Bedroom 1st Level', u'Fuel-Dn: Electric-Down', u'Fuel-Dn: Electric-Up', u'A: C-Up', u'Water: Well Water', u'Water: Septic Tank', u'Electricity: Progress', u'Type: Two Story', u'Miscellaneous: County', u'Fencing: None', u'Ownership: Bank Owned', u'Rooms: Bonus Room', u'Property Status: Cont', u'Subdivision: RED OAK PLANTATION', u'Walk-in closet', u'Exterior material: Cement concrete', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Floor size: 2,220 sqft', u'Parcel #: 382300-94-2604', u'Zillow Home ID: 111323721']	http://photos2.zillowstatic.com/p_e/ISt867u5hj2vjk1000000000.jpg	213000.0	[]	2220.0	NC	225319.0	27809	111323721
2.0	3	Battleboro	[u'Lot: 0.88 acres', u'Single Family', u'Built in 1996', u'All time views: 4,089', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $155,500', u'Last sale price/sqft: $83', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Tile, Other', u'Porch', u'Wired', u'Garage: None-Garage', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Eat-in', u'Precautions: None Known', u'Reservoir: None', u'Ownership: Individual', u'A: C Down', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Down', u'Roof: Insulated', u'Roof: Fold In or Out', u'Attic: Eve Storage', u'Attic: Partially Floored', u'Water: Well Water', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Electricity: Progress', u'Heating-Dn: None Up', u'Garage: None-Carport', u'Fuel-Dn: None-Up', u'Fencing: Vinyl', u'A: None-Up', u'Rooms: Great Room', u'Rooms: Utility Room', u'Miscellaneous: County', u'Miscellaneous: USDA Qualified', u'Fencing: Wood', u'Gas Logs', u'Underground Utilities', u'Cul-de-Sac', u'Rooms: Bonus Room', u'Electricity: LP Gas', u'Attic: Expandable', u'Trash: Other-See Remarks', u'Attic: Finished', u'Subdivision: SANDY PINE', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Cement concrete', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,875 sqft', u'Parcel #: 383300-34-9939', u'Zillow Home ID: 74998289']	http://photos2.zillowstatic.com/p_e/IS1jn53hjmmlug0000000000.jpg	155500.0	[]	1875.0	NC	155162.0	27809	74998289
1.5	2	Battleboro	[u'Baths: 1 full, 1 half', u'Lot: 0.25 acres', u'Single Family', u'Built in 1978', u'All time views: 1,400', u'Cooling: Central', u'Last sold: Feb 2016 for $23,900', u'Last sale price/sqft: $25', u'Fireplace', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 4', u'Unit count: 1', u'Floor size: 940 sqft', u'Last remodel year: 1978', u'Parcel #: 387308678600', u'Zillow Home ID: 68524682']	http://photos1.zillowstatic.com/p_e/IS1rt7ndmhhvk01000000000.jpg	23900.0	[]	940.0	NC	49216.0	27809	68524682
4.0	3	Battleboro	[u'Lot: 12.42 acres', u'Single Family', u'Built in 1993', u'All time views: 911', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $153,000', u'Last sale price/sqft: $40', u'Fireplace', u'Foundation type: Other', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 1.5', u'Structure type: Cape cod', u'Floor size: 3,792 sqft', u'Parcel #: 386306-49-4046', u'Zillow Home ID: 75003517']	http://photos3.zillowstatic.com/p_e/IS5292nbaz2m6u0000000000.jpg	153000.0	[]	3792.0	NC	315445.0	27809	75003517
5.0	4	Battleboro	[u'Baths: 4 full, 1 half', u'Lot: 3.62 acres', u'Single Family', u'Built in 2004', u'All time views: 3,009', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2015 for $300,000', u'Last sale price/sqft: $80', u'Cable Ready', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Mother-in-Law Apartment', u'Parking: Garage - Attached, Garage - Detached, 4 spaces', u'Porch', u'Security System', u'Vaulted Ceiling', u'Basement: None', u'Basement: Crawlspace', u'Rooms: Living Room', u'Reservoir: None', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Electricity: City of Rocky Mount', u'Rooms: Master Bedroom 1st Level', u'Type: 1.5 Story', u'Construction: Siding-Vinyl', u'Fuel-Dn: Electric-Up', u'Roof: Vinyl Clad', u'A: C-Up', u'Roof: Fold In or Out', u'Water: Well Water', u'Attic: Walk-in Storage', u'Water: Septic Tank', u'Garage: None-Carport', u'Rooms: Great Room', u'Rooms: Utility Room', u'Miscellaneous: County', u'Open Foyer', u'Fencing: None', u'Gravel Drive', u'Underground Utilities', u'Cul-de-Sac', u'Trash: Private Service', u'Precautions: Above Ground Tank', u'Ownership: Bank Owned', u'Rooms: Bonus Room', u'Electricity: LP Gas', u'Rooms: Apt', u'Subdivision: BYNUM CHASE', u'Dishwasher', u'Microwave', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Composition', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 3,757 sqft', u'Heating: Gas', u'Parcel #: 383400-70-6590', u'Zillow Home ID: 74998475']	http://photos3.zillowstatic.com/p_e/ISla6i5qonxl9h0000000000.jpg	300000.0	[]	3757.0	NC	377665.0	27809	74998475
1.5	3	Battleboro	[u'Lot: 1.19 acres', u'Single Family', u'Built in 1974', u'All time views: 1,571', u'Cooling: Other', u'Heating: Baseboard', u'Last sold: Nov 2015 for $75,000', u'Last sale price/sqft: $67', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet', u'Parking: Carport', u'partially fenced yard', u'utility room under carport and storage building', u'Range / Oven', u'Family room', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,113 sqft', u'Heating: Electric', u'Parcel #: 383300-17-4205', u'Zillow Home ID: 74998244']	http://photos3.zillowstatic.com/p_e/IS52lba5wrnk830000000000.jpg	75000.0	[]	1113.0	NC	118321.0	27809	74998244
